Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills,
332,FR,978-1-4423-5032-8,French 2,16,0:24:21,0:24:23,09R,245,F,"Avant, c'était moins cher.",4,S,"French Phase 2, Units 1-30 (2004)","11,14,17",
333,FR,978-1-4423-5032-8,French 2,16,0:27:02,0:27:04,10Q,273,N,She and her husband both come from Canada.,,,"French Phase 2, Units 1-30 (2004)","5,18",
334,FR,978-1-4423-5032-8,French 2,16,0:27:10,0:27:13,10R,274,F,Elle et son mari viennent tous les deux du Canada.,10,S,"French Phase 2, Units 1-30 (2004)","5,18",
335,FR,978-1-4423-5032-8,French 2,17,0:06:37,0:06:38,01Q,79,N,I’m leaving for London.,,,"French Phase 2, Units 1-30 (2004)","1,18",
336,FR,978-1-4423-5032-8,French 2,17,0:06:42,0:06:44,01R,80,M,Je pars à Londres.,4,S,"French Phase 2, Units 1-30 (2004)","1,18",
337,FR,978-1-4423-5032-8,French 2,17,0:08:47,0:08:49,02Q,97,N,Our children aren’t leaving with us.,,,"French Phase 2, Units 1-30 (2004)","5,18",
338,FR,978-1-4423-5032-8,French 2,17,0:08:54,0:08:56,02R,98,M,Nos enfants ne partent pas avec nous.,7,S,"French Phase 2, Units 1-30 (2004)","5,18",
339,FR,978-1-4423-5032-8,French 2,17,0:11:17,0:11:21,03Q,123,N,"If it’s nice, meaning the weather.",,,"French Phase 2, Units 1-30 (2004)",19,
340,FR,978-1-4423-5032-8,French 2,17,0:11:23,0:11:24,03R,124,M,S’il fait beau.,3,S,"French Phase 2, Units 1-30 (2004)",19,
341,FR,978-1-4423-5032-8,French 2,17,0:11:49,0:11:52,04Q,128,N,"In that case, your children are both staying here in Paris?",,,"French Phase 2, Units 1-30 (2004)","5,18",
342,FR,978-1-4423-5032-8,French 2,17,0:11:59,0:12:02,04R,130,F,"Alors, vos enfants restent tous les deux ici à Paris?",10,Q,"French Phase 2, Units 1-30 (2004)","5,18",
343,FR,978-1-4423-5032-8,French 2,17,0:13:59,0:14:00,05Q,150,N,How old is your son?,,,"French Phase 2, Units 1-30 (2004)","5,17",
344,FR,978-1-4423-5032-8,French 2,17,0:14:04,0:14:05,05R,152,F,Quel âge a votre fils?,5,Q,"French Phase 2, Units 1-30 (2004)","5,17",
345,FR,978-1-4423-5032-8,French 2,17,0:14:38,0:14:39,06Q,156,N,He’s twenty-one.,,,"French Phase 2, Units 1-30 (2004)","12,17",
346,FR,978-1-4423-5032-8,French 2,17,0:14:46,0:14:47,06R,158,M,Il a vingt et un ans.,6,S,"French Phase 2, Units 1-30 (2004)","12,17",
347,FR,978-1-4423-5032-8,French 2,17,0:16:07,0:16:08,07Q,169,N,You’re leaving without them.,,,"French Phase 2, Units 1-30 (2004)",18,
348,FR,978-1-4423-5032-8,French 2,17,0:16:11,0:16:13,07R,170,F,Vous partez sans eux.,4,S,"French Phase 2, Units 1-30 (2004)",18,
349,FR,978-1-4423-5032-8,French 2,17,0:19:16,0:19:18,08Q,197,N,"Before, I used to have a car.",,,"French Phase 2, Units 1-30 (2004)","17,18",
350,FR,978-1-4423-5032-8,French 2,17,0:19:22,0:19:24,08R,198,F,"Avant, j’avais une voiture.",4,S,"French Phase 2, Units 1-30 (2004)","17,18",
351,FR,978-1-4423-5032-8,French 2,17,0:20:07,0:20:09,09Q,204,N,But I don’t have any car at the moment.,,,"French Phase 2, Units 1-30 (2004)","9,18",
352,FR,978-1-4423-5032-8,French 2,17,0:20:13,0:20:15,09R,205,F,Mais je n’ai pas de voiture en ce moment.,9,S,"French Phase 2, Units 1-30 (2004)","9,18",
353,FR,978-1-4423-5032-8,French 2,17,0:21:48,0:21:50,10Q,220,N,"Before, I used to have an American car.",,,"French Phase 2, Units 1-30 (2004)","9,18",
354,FR,978-1-4423-5032-8,French 2,17,0:21:55,0:21:57,10R,221,F,"Avant, j’avais une voiture américaine.",5,S,"French Phase 2, Units 1-30 (2004)","9,18",
355,FR,978-1-4423-5032-8,French 2,18,0:02:42,0:02:43,01Q,39,N,That was interesting.,,,"French Phase 2, Units 1-30 (2004)",7,
356,FR,978-1-4423-5032-8,French 2,18,0:02:46,0:02:47,01R,40,M,C’était intéressant.,2,S,"French Phase 2, Units 1-30 (2004)",7,
357,FR,978-1-4423-5032-8,French 2,18,0:03:04,0:03:06,02Q,46,N,My work was very interesting.,,,"French Phase 2, Units 1-30 (2004)","9,20",
358,FR,978-1-4423-5032-8,French 2,18,0:03:12,0:03:14,02R,47,M,Mon travail était très intéressant.,5,S,"French Phase 2, Units 1-30 (2004)","9,20",
359,FR,978-1-4423-5032-8,French 2,18,0:05:46,0:05:48,03Q,70,N,He has a really interesting job.,,,"French Phase 2, Units 1-30 (2004)","9,20",
360,FR,978-1-4423-5032-8,French 2,18,0:05:55,0:05:57,03R,71,F,Il a un travail vraiment intéressant.,6,S,"French Phase 2, Units 1-30 (2004)","9,20",
361,FR,978-1-4423-5032-8,French 2,18,0:06:10,0:06:11,04Q,73,N,How old is your son?,,,"French Phase 2, Units 1-30 (2004)","5,17",
362,FR,978-1-4423-5032-8,French 2,18,0:06:14,0:06:16,04R,74,M,Quel âge a votre fils?,5,Q,"French Phase 2, Units 1-30 (2004)","5,17",
363,FR,978-1-4423-5032-8,French 2,18,0:08:30,0:08:31,05Q,98,N,How old are they?,,,"French Phase 2, Units 1-30 (2004)","7,17",
364,FR,978-1-4423-5032-8,French 2,18,0:08:35,0:08:37,05R,100,F,Elles ont quel âge?,4,Q,"French Phase 2, Units 1-30 (2004)","7,17",
365,FR,978-1-4423-5032-8,French 2,18,0:11:36,0:11:37,06Q,130,N,It (the weather) was bad.,,,"French Phase 2, Units 1-30 (2004)",19,
366,FR,978-1-4423-5032-8,French 2,18,0:11:40,0:11:41,06R,132,M,Il faisait mauvais.,3,S,"French Phase 2, Units 1-30 (2004)",19,
367,FR,978-1-4423-5032-8,French 2,18,0:18:23,0:18:24,07Q,197,N,Where is there a telephone?,,,"French Phase 2, Units 1-30 (2004)","3,4,16",
368,FR,978-1-4423-5032-8,French 2,18,0:18:29,0:18:31,07R,198,F,Où est-ce qu’il y a un téléphone?,7,Q,"French Phase 2, Units 1-30 (2004)","3,4,16",
369,FR,978-1-4423-5032-8,French 2,18,0:19:36,0:19:38,08Q,211,N,I have to call information.,,,"French Phase 2, Units 1-30 (2004)",3,
370,FR,978-1-4423-5032-8,French 2,18,0:21:31,0:21:33,08R,228,F,Je dois appeler les renseignements.,5,S,"French Phase 2, Units 1-30 (2004)",3,
371,FR,978-1-4423-5032-8,French 2,18,0:21:59,0:22:00,09Q,234,N,It was the wrong number.,,,"French Phase 2, Units 1-30 (2004)",3,
372,FR,978-1-4423-5032-8,French 2,18,0:22:03,0:22:05,09R,235,F,C’était le mauvais numéro.,4,S,"French Phase 2, Units 1-30 (2004)",3,
373,FR,978-1-4423-5032-8,French 2,18,0:22:29,0:22:30,10Q,240,N,I have to call back later.,,,"French Phase 2, Units 1-30 (2004)","3,17",
374,FR,978-1-4423-5032-8,French 2,18,0:23:15,0:23:16,10R,249,F,Je dois rappeler plus tard.,5,S,"French Phase 2, Units 1-30 (2004)","3,17",
375,FR,978-1-4423-5032-8,French 2,19,0:04:05,0:04:07,01Q,52,N,Say that you’re going to try again.,,,"French Phase 2, Units 1-30 (2004)",7,
376,FR,978-1-4423-5032-8,French 2,19,0:04:10,0:04:12,01R,53,F,Je vais essayer encore une fois.,6,S,"French Phase 2, Units 1-30 (2004)",7,
377,FR,978-1-4423-5032-8,French 2,19,0:05:02,0:05:03,02Q,64,N,"This time, it’s the right number.",,,"French Phase 2, Units 1-30 (2004)","3,17",
378,FR,978-1-4423-5032-8,French 2,19,0:05:07,0:05:09,02R,65,F,"Cette fois, c’est le bon numéro.",6,S,"French Phase 2, Units 1-30 (2004)","3,17",
379,FR,978-1-4423-5032-8,French 2,19,0:07:53,0:07:54,03Q,93,N,She’s at the university.,,,"French Phase 2, Units 1-30 (2004)","9,20",
380,FR,978-1-4423-5032-8,French 2,19,0:07:57,0:07:58,03R,94,M,Elle est à l’université.,4,S,"French Phase 2, Units 1-30 (2004)","9,20",
381,FR,978-1-4423-5032-8,French 2,19,0:09:56,0:09:57,04Q,111,N,Do you know where the post office is?,,,"French Phase 2, Units 1-30 (2004)","4,20",
382,FR,978-1-4423-5032-8,French 2,19,0:10:03,0:10:05,04R,112,F,Est-ce que vous savez où est la poste?,8,Q,"French Phase 2, Units 1-30 (2004)","4,20",
383,FR,978-1-4423-5032-8,French 2,19,0:10:50,0:10:51,05Q,121,N,Do you see it (f)?,,,"French Phase 2, Units 1-30 (2004)",7,
384,FR,978-1-4423-5032-8,French 2,19,0:10:54,0:10:55,05R,122,M,Est-ce que vous la voyez?,5,Q,"French Phase 2, Units 1-30 (2004)",7,
385,FR,978-1-4423-5032-8,French 2,19,0:11:55,0:11:56,06Q,131,N,On the right.,,,"French Phase 2, Units 1-30 (2004)","4,9",
386,FR,978-1-4423-5032-8,French 2,19,0:11:58,0:11:59,06R,132,M,Sur la droite.,3,S,"French Phase 2, Units 1-30 (2004)","4,9",
387,FR,978-1-4423-5032-8,French 2,19,0:13:34,0:13:35,07Q,149,N,"Yes, this time, I see it.",,,"French Phase 2, Units 1-30 (2004)",17,
388,FR,978-1-4423-5032-8,French 2,19,0:13:39,0:13:41,07R,150,F,"Oui, cette fois, je la vois.",6,S,"French Phase 2, Units 1-30 (2004)",17,
389,FR,978-1-4423-5032-8,French 2,19,0:14:23,0:14:25,08Q,159,N,This letter is for a male friend of mine.,,,"French Phase 2, Units 1-30 (2004)","3,5",
390,FR,978-1-4423-5032-8,French 2,19,0:14:30,0:14:32,08R,160,F,Cette lettre est pour un ami à moi.,8,S,"French Phase 2, Units 1-30 (2004)","3,5",
391,FR,978-1-4423-5032-8,French 2,19,0:20:27,0:20:28,09Q,213,N,And he has a girlfriend.,,,"French Phase 2, Units 1-30 (2004)","5,9",
392,FR,978-1-4423-5032-8,French 2,19,0:20:32,0:20:34,09R,214,M,Et il a une petite amie.,6,S,"French Phase 2, Units 1-30 (2004)","5,9",
393,FR,978-1-4423-5032-8,French 2,19,0:28:34,0:28:35,10Q,285,N,You can call information.,,,"French Phase 2, Units 1-30 (2004)","3,9",
394,FR,978-1-4423-5032-8,French 2,19,0:28:41,0:28:43,10R,286,M,Vous pouvez appeler les renseignements.,5,S,"French Phase 2, Units 1-30 (2004)","3,9",
395,FR,978-1-4423-5032-8,French 2,20,0:02:05,0:02:06,01Q,32,N,Over there on the left?,,,"French Phase 2, Units 1-30 (2004)",4,
396,FR,978-1-4423-5032-8,French 2,20,0:02:08,0:02:10,01R,33,F,Là-bas sur la gauche?,4,Q,"French Phase 2, Units 1-30 (2004)",4,
397,FR,978-1-4423-5032-8,French 2,20,0:03:18,0:03:20,02Q,46,N,Do you know the address?,,,"French Phase 2, Units 1-30 (2004)","4,9",
398,FR,978-1-4423-5032-8,French 2,20,0:03:24,0:03:25,02R,47,M,Est-ce que vous connaissez l’adresse?,5,Q,"French Phase 2, Units 1-30 (2004)","4,9",
399,FR,978-1-4423-5032-8,French 2,20,0:04:52,0:04:53,03Q,63,N,I’m going to try again later.,,,"French Phase 2, Units 1-30 (2004)",17,
400,FR,978-1-4423-5032-8,French 2,20,0:04:59,0:05:01,03R,64,M,Je vais essayer encore une fois plus tard.,8,S,"French Phase 2, Units 1-30 (2004)",17,
401,FR,978-1-4423-5032-8,French 2,20,0:05:54,0:05:56,04Q,71,N,My wife writes a lot of letters.,,,"French Phase 2, Units 1-30 (2004)","3,5",
402,FR,978-1-4423-5032-8,French 2,20,0:05:58,0:06:01,04R,73,M,Ma femme écrit beaucoup de lettres.,6,S,"French Phase 2, Units 1-30 (2004)","3,5",
403,FR,978-1-4423-5032-8,French 2,20,0:06:38,0:06:40,05Q,79,N,She always writes letters.,,,"French Phase 2, Units 1-30 (2004)","1,3,17",
404,FR,978-1-4423-5032-8,French 2,20,0:06:45,0:06:47,05R,80,M,Elle écrit toujours des lettres.,5,S,"French Phase 2, Units 1-30 (2004)","1,3,17",
405,FR,978-1-4423-5032-8,French 2,20,0:07:51,0:07:53,06Q,90,N,I never write letters.,,,"French Phase 2, Units 1-30 (2004)","1,3,17",
406,FR,978-1-4423-5032-8,French 2,20,0:07:57,0:07:58,06R,91,M,Je n’écris jamais de lettres.,5,S,"French Phase 2, Units 1-30 (2004)","1,3,17",
407,FR,978-1-4423-5032-8,French 2,20,0:08:07,0:08:09,07Q,92,N,I prefer to send e-mails.,,,"French Phase 2, Units 1-30 (2004)","1,3",
408,FR,978-1-4423-5032-8,French 2,20,0:08:11,0:08:13,07R,93,M,Je préfère envoyer des courriels.,5,S,"French Phase 2, Units 1-30 (2004)","1,3",
409,FR,978-1-4423-5032-8,French 2,20,0:09:38,0:09:40,08Q,109,N,"No, I don’t write a lot of letters.",,,"French Phase 2, Units 1-30 (2004)","1,3,12",
410,FR,978-1-4423-5032-8,French 2,20,0:09:45,0:09:47,08R,110,M,"Non, je n’écris pas beaucoup de lettres.",7,S,"French Phase 2, Units 1-30 (2004)","1,3,12",
411,FR,978-1-4423-5032-8,French 2,20,0:13:13,0:13:14,09Q,143,N,What do they (f) do?,,,"French Phase 2, Units 1-30 (2004)","1,7",
412,FR,978-1-4423-5032-8,French 2,20,0:13:16,0:13:17,09R,144,F,Qu’est-ce qu’elles font?,3,Q,"French Phase 2, Units 1-30 (2004)","1,7",
413,FR,978-1-4423-5032-8,French 2,20,0:17:29,0:17:31,10Q,182,N,They’re both at the university.,,,"French Phase 2, Units 1-30 (2004)","5,20",
414,FR,978-1-4423-5032-8,French 2,20,0:17:36,0:17:38,10R,183,F,Ils sont tous les deux à l’université.,7,S,"French Phase 2, Units 1-30 (2004)","5,20",
415,FR,978-1-4423-5032-8,French 2,21,0:01:12,0:01:13,01Q,23,N,Our son’s a student.,,,"French Phase 2, Units 1-30 (2004)","5,20",
416,FR,978-1-4423-5032-8,French 2,21,0:01:17,0:01:18,01R,24,F,Notre fils est étudiant.,4,S,"French Phase 2, Units 1-30 (2004)","5,20",
417,FR,978-1-4423-5032-8,French 2,21,0:04:46,0:04:49,02Q,55,N,The post office was closed yesterday.,,,"French Phase 2, Units 1-30 (2004)","14,17",
418,FR,978-1-4423-5032-8,French 2,21,0:04:52,0:04:54,02R,56,F,La poste était fermée hier.,5,S,"French Phase 2, Units 1-30 (2004)","14,17",
419,FR,978-1-4423-5032-8,French 2,21,0:05:31,0:05:33,03Q,62,N,My husband really writes a lot of letters.,,,"French Phase 2, Units 1-30 (2004)","3,5",
420,FR,978-1-4423-5032-8,French 2,21,0:05:39,0:05:42,03R,63,F,Mon mari écrit vraiment beaucoup de lettres.,7,S,"French Phase 2, Units 1-30 (2004)","3,5",
421,FR,978-1-4423-5032-8,French 2,21,0:09:13,0:09:14,04Q,96,N,You can try the number.,,,"French Phase 2, Units 1-30 (2004)","3,12",
422,FR,978-1-4423-5032-8,French 2,21,0:09:18,0:09:20,04R,97,M,Vous pouvez essayer le numéro.,5,S,"French Phase 2, Units 1-30 (2004)","3,12",
423,FR,978-1-4423-5032-8,French 2,21,0:09:50,0:09:51,05Q,102,N,"Today, it’s a holiday?",,,"French Phase 2, Units 1-30 (2004)","9,17",
424,FR,978-1-4423-5032-8,French 2,21,0:09:55,0:09:56,05R,103,F,"Aujourd’hui, c’est un jour férié?",5,Q,"French Phase 2, Units 1-30 (2004)","9,17",
425,FR,978-1-4423-5032-8,French 2,21,0:11:08,0:11:09,06Q,116,N,Are the pharmacies closed too?,,,"French Phase 2, Units 1-30 (2004)","5,14",
426,FR,978-1-4423-5032-8,French 2,21,0:11:14,0:11:16,06R,117,F,Est-ce que les pharmacies sont fermées aussi?,7,Q,"French Phase 2, Units 1-30 (2004)","5,14",
427,FR,978-1-4423-5032-8,French 2,21,0:13:51,0:13:52,07Q,144,N,Can I assist you?,,,"French Phase 2, Units 1-30 (2004)","7,13",
428,FR,978-1-4423-5032-8,French 2,21,0:13:55,0:13:57,07R,145,M,Est-ce que je peux vous renseigner?,6,Q,"French Phase 2, Units 1-30 (2004)","7,13",
429,FR,978-1-4423-5032-8,French 2,21,0:15:12,0:15:13,08Q,157,N,I want to go to this pharmacy.,,,"French Phase 2, Units 1-30 (2004)",16,
430,FR,978-1-4423-5032-8,French 2,21,0:15:18,0:15:20,08R,158,F,Je veux aller à cette pharmacie.,6,S,"French Phase 2, Units 1-30 (2004)",16,
431,FR,978-1-4423-5032-8,French 2,21,0:16:16,0:16:18,09Q,168,N,It’s five minutes away by taxi.,,,"French Phase 2, Units 1-30 (2004)","12,17,18",
432,FR,978-1-4423-5032-8,French 2,21,0:16:22,0:16:23,09R,169,M,C’est à cinq minutes en taxi.,6,S,"French Phase 2, Units 1-30 (2004)","12,17,18",
433,FR,978-1-4423-5032-8,French 2,21,0:16:43,0:16:45,10Q,173,N,Do you manage to read the address?,,,"French Phase 2, Units 1-30 (2004)",18,
434,FR,978-1-4423-5032-8,French 2,21,0:16:48,0:16:50,10R,174,M,Est-ce que vous arrivez à lire l’adresse?,7,Q,"French Phase 2, Units 1-30 (2004)",18,
435,FR,978-1-4423-5032-8,French 2,22,0:05:22,0:05:23,01Q,60,N,What are they doing over there?,,,"French Phase 2, Units 1-30 (2004)",4,
436,FR,978-1-4423-5032-8,French 2,22,0:05:27,0:05:28,01R,61,M,Qu’est-ce qu’ils font là-bas?,4,Q,"French Phase 2, Units 1-30 (2004)",4,
437,FR,978-1-4423-5032-8,French 2,22,0:07:00,0:07:02,02Q,75,N,I prefer to send e-mails.,,,"French Phase 2, Units 1-30 (2004)",3,
438,FR,978-1-4423-5032-8,French 2,22,0:07:06,0:07:08,02R,76,F,Je préfère envoyer des courriels.,5,S,"French Phase 2, Units 1-30 (2004)",3,
439,FR,978-1-4423-5032-8,French 2,22,0:10:13,0:10:14,03Q,104,N,I’m looking for Bastille Square.,,,"French Phase 2, Units 1-30 (2004)","4,18",
440,FR,978-1-4423-5032-8,French 2,22,0:10:18,0:10:20,03R,105,M,Je cherche la Place de la Bastille.,7,S,"French Phase 2, Units 1-30 (2004)","4,18",
441,FR,978-1-4423-5032-8,French 2,22,0:13:22,0:13:23,04Q,133,N,Take the first left. ,,,"French Phase 2, Units 1-30 (2004)","4,12",
442,FR,978-1-4423-5032-8,French 2,22,0:13:28,0:13:30,04R,134,F,Prenez la première à gauche.,5,S,"French Phase 2, Units 1-30 (2004)","4,12",
443,FR,978-1-4423-5032-8,French 2,22,0:14:28,0:14:29,05Q,144,N,They drive slowly.,,,"French Phase 2, Units 1-30 (2004)",18,
444,FR,978-1-4423-5032-8,French 2,22,0:14:33,0:14:35,05R,145,F,Ils conduisent lentement.,3,S,"French Phase 2, Units 1-30 (2004)",18,
445,FR,978-1-4423-5032-8,French 2,22,0:15:51,0:15:53,06Q,158,N,I don’t like to drive in France.,,,"French Phase 2, Units 1-30 (2004)","1,18",
446,FR,978-1-4423-5032-8,French 2,22,0:15:57,0:15:59,06R,159,M,Je n’aime pas conduire en France.,6,S,"French Phase 2, Units 1-30 (2004)","1,18",
447,FR,978-1-4423-5032-8,French 2,22,0:21:11,0:21:13,07Q,210,N,"It’s how much, the gas?",,,"French Phase 2, Units 1-30 (2004)",14,
448,FR,978-1-4423-5032-8,French 2,22,0:21:16,0:21:18,07R,211,M,"C’est combien, l’essence?",3,Q,"French Phase 2, Units 1-30 (2004)",14,
449,FR,978-1-4423-5032-8,French 2,22,0:22:45,0:22:46,08Q,224,N,I can drive more slowly.,,,"French Phase 2, Units 1-30 (2004)","1,18",
450,FR,978-1-4423-5032-8,French 2,22,0:22:51,0:22:52,08R,225,F,Je peux conduire plus lentement.,5,S,"French Phase 2, Units 1-30 (2004)","1,18",
451,FR,978-1-4423-5032-8,French 2,22,0:25:02,0:25:03,09Q,248,N,Take the first right.,,,"French Phase 2, Units 1-30 (2004)",4,
452,FR,978-1-4423-5032-8,French 2,22,0:25:06,0:25:08,09R,249,M,Prenez la première à droite.,5,S,"French Phase 2, Units 1-30 (2004)",4,
453,FR,978-1-4423-5032-8,French 2,22,0:25:50,0:25:52,10Q,257,N,I’m looking for the number of a pharmacy.,,,"French Phase 2, Units 1-30 (2004)","3,16",
454,FR,978-1-4423-5032-8,French 2,22,0:25:56,0:25:58,10R,258,M,Je cherche le numéro d’une pharmacie.,6,S,"French Phase 2, Units 1-30 (2004)","3,16",
455,FR,978-1-4423-5032-8,French 2,22,0:26:09,0:26:10,11Q,260,N,I’m not managing to read the number.,,,"French Phase 2, Units 1-30 (2004)","1,3",
456,FR,978-1-4423-5032-8,French 2,22,0:26:14,0:26:16,11R,262,M,Je n’arrive pas à lire le numéro.,7,S,"French Phase 2, Units 1-30 (2004)","1,3",
457,FR,978-1-4423-5032-8,French 2,23,0:02:11,0:02:13,01Q,34,N,He prefers to stay at home.,,,"French Phase 2, Units 1-30 (2004)",18,
458,FR,978-1-4423-5032-8,French 2,23,0:02:19,0:02:21,01R,35,M,Il préfère rester chez lui.,5,S,"French Phase 2, Units 1-30 (2004)",18,
459,FR,978-1-4423-5032-8,French 2,23,0:04:47,0:04:49,02Q,57,N,It’s a little further than the post office.,,,"French Phase 2, Units 1-30 (2004)","4,20",
460,FR,978-1-4423-5032-8,French 2,23,0:04:55,0:04:57,02R,59,F,Il est t-un peu plus loin que la poste.,9,S,"French Phase 2, Units 1-30 (2004)","4,20",
461,FR,978-1-4423-5032-8,French 2,23,0:05:37,0:05:38,03Q,66,N,I’d like to send these letters.,,,"French Phase 2, Units 1-30 (2004)","1,3",
462,FR,978-1-4423-5032-8,French 2,23,0:05:43,0:05:45,03R,67,F,Je voudrais envoyer ces lettres.,5,S,"French Phase 2, Units 1-30 (2004)","1,3",
463,FR,978-1-4423-5032-8,French 2,23,0:06:32,0:06:33,04Q,74,N,You drive fast.,,,"French Phase 2, Units 1-30 (2004)",18,
464,FR,978-1-4423-5032-8,French 2,23,0:06:36,0:06:37,04R,75,F,Tu conduis vite.,3,S,"French Phase 2, Units 1-30 (2004)",18,
465,FR,978-1-4423-5032-8,French 2,23,0:07:40,0:07:41,05Q,85,N,I drive more slowly.,,,"French Phase 2, Units 1-30 (2004)","1,18",
466,FR,978-1-4423-5032-8,French 2,23,0:07:46,0:07:48,05R,86,M,Je conduis plus lentement.,4,S,"French Phase 2, Units 1-30 (2004)","1,18",
467,FR,978-1-4423-5032-8,French 2,23,0:09:50,0:09:51,06Q,105,N,"Can you slow down, please?",,,"French Phase 2, Units 1-30 (2004)",7,
468,FR,978-1-4423-5032-8,French 2,23,0:09:55,0:09:57,06R,106,F,"Est-ce que tu peux ralentir, s’il te plaît?",8,Q,"French Phase 2, Units 1-30 (2004)",7,
469,FR,978-1-4423-5032-8,French 2,23,0:15:04,0:15:05,07Q,155,N,My car isn’t working.,,,"French Phase 2, Units 1-30 (2004)","9,18",
470,FR,978-1-4423-5032-8,French 2,23,0:15:08,0:15:09,07R,156,F,Ma voiture ne marche pas.,5,S,"French Phase 2, Units 1-30 (2004)","9,18",
471,FR,978-1-4423-5032-8,French 2,23,0:16:36,0:16:38,08Q,170,N,I don’t know why it isn’t working.,,,"French Phase 2, Units 1-30 (2004)",7,
472,FR,978-1-4423-5032-8,French 2,23,0:16:42,0:16:44,08R,171,F,Je ne sais pas pourquoi elle ne marche pas.,9,S,"French Phase 2, Units 1-30 (2004)",7,
473,FR,978-1-4423-5032-8,French 2,23,0:20:52,0:20:53,09Q,215,N,Here are a few newspapers.,,,"French Phase 2, Units 1-30 (2004)","3,9",
474,FR,978-1-4423-5032-8,French 2,23,0:20:57,0:20:58,09R,216,F,Voilà quelques journaux.,3,S,"French Phase 2, Units 1-30 (2004)","3,9",
475,FR,978-1-4423-5032-8,French 2,23,0:21:14,0:21:15,10Q,219,N,Do you want to read them?,,,"French Phase 2, Units 1-30 (2004)",1,
476,FR,978-1-4423-5032-8,French 2,23,0:21:21,0:21:22,10R,220,F,Est-ce que tu veux les lire?,6,Q,"French Phase 2, Units 1-30 (2004)",1,
477,FR,978-1-4423-5032-8,French 2,24,0:06:05,0:06:07,01Q,71,N,Can you take me to the post office?,,,"French Phase 2, Units 1-30 (2004)","4,20",
478,FR,978-1-4423-5032-8,French 2,24,0:06:11,0:06:14,01R,72,F,Est-ce que tu peux m’accompagner à la poste?,8,Q,"French Phase 2, Units 1-30 (2004)","4,20",
479,FR,978-1-4423-5032-8,French 2,24,0:06:25,0:06:26,02Q,74,N,"No, I’m sorry.",,,"French Phase 2, Units 1-30 (2004)","7,13",
480,FR,978-1-4423-5032-8,French 2,24,0:06:29,0:06:31,02R,75,M,"Non, je suis désolé.",4,S,"French Phase 2, Units 1-30 (2004)","7,13",
481,FR,978-1-4423-5032-8,French 2,24,0:07:43,0:07:45,03Q,86,N,My car isn’t working very well.,,,"French Phase 2, Units 1-30 (2004)","9,18",
482,FR,978-1-4423-5032-8,French 2,24,0:07:49,0:07:51,03R,87,M,Ma voiture ne marche pas très bien.,7,S,"French Phase 2, Units 1-30 (2004)","9,18",
483,FR,978-1-4423-5032-8,French 2,24,0:10:11,0:10:12,04Q,107,N,I don’t want to go there on foot.,,,"French Phase 2, Units 1-30 (2004)","1,4",
484,FR,978-1-4423-5032-8,French 2,24,0:10:17,0:10:18,04R,108,M,Je ne veux pas y aller à pied.,8,S,"French Phase 2, Units 1-30 (2004)","1,4",
485,FR,978-1-4423-5032-8,French 2,24,0:14:03,0:14:05,05Q,144,N,It’s too bad that my car isn’t working.,,,"French Phase 2, Units 1-30 (2004)",18,
486,FR,978-1-4423-5032-8,French 2,24,0:14:09,0:14:11,05R,145,M,C’est dommage que ma voiture ne marche pas.,8,S,"French Phase 2, Units 1-30 (2004)",18,
487,FR,978-1-4423-5032-8,French 2,24,0:17:57,0:17:59,06Q,182,N,You don’t play tennis?,,,"French Phase 2, Units 1-30 (2004)",1,
488,FR,978-1-4423-5032-8,French 2,24,0:18:02,0:18:03,06R,183,F,Tu ne joues pas au tennis?,6,Q,"French Phase 2, Units 1-30 (2004)",1,
489,FR,978-1-4423-5032-8,French 2,24,0:19:53,0:19:54,07Q,203,N,Great.,,,"French Phase 2, Units 1-30 (2004)",7,
490,FR,978-1-4423-5032-8,French 2,24,0:19:56,0:19:57,07R,204,F,Formidable.,1,S,"French Phase 2, Units 1-30 (2004)",7,
491,FR,978-1-4423-5032-8,French 2,24,0:20:24,0:20:25,08Q,209,N,That’s a good idea.,,,"French Phase 2, Units 1-30 (2004)",7,
492,FR,978-1-4423-5032-8,French 2,24,0:20:28,0:20:29,08R,210,M,C’est une bonne idée.,4,S,"French Phase 2, Units 1-30 (2004)",7,
493,FR,978-1-4423-5032-8,French 2,24,0:21:52,0:21:53,09Q,225,N,We can play tennis together.,,,"French Phase 2, Units 1-30 (2004)",1,
494,FR,978-1-4423-5032-8,French 2,24,0:21:59,0:22:01,09R,226,M,Nous pouvons jouer au tennis ensemble.,6,S,"French Phase 2, Units 1-30 (2004)",1,
495,FR,978-1-4423-5032-8,French 2,24,0:26:09,0:26:10,10Q,270,N,"I can slow down, if you want.",,,"French Phase 2, Units 1-30 (2004)","9,18",
496,FR,978-1-4423-5032-8,French 2,24,0:26:14,0:26:16,10R,271,F,"Je peux ralentir, si tu veux.",6,S,"French Phase 2, Units 1-30 (2004)","9,18",
497,FR,978-1-4423-5032-8,French 2,25,0:01:06,0:01:08,01Q,25,N,Would you like to play tennis with me?,,,"French Phase 2, Units 1-30 (2004)",1,
498,FR,978-1-4423-5032-8,French 2,25,0:01:14,0:01:16,01R,26,M,Est-ce que tu voudrais jouer au tennis avec moi?,9,Q,"French Phase 2, Units 1-30 (2004)",1,
