Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills
335,FR,978-1-4423-5033-5,French 3,17,0:15:33,0:15:35,07Q,170,N,Almost all the colleagues will be there.,,,"French Phase 3, Units 1-30 (2005)",20
336,FR,978-1-4423-5033-5,French 3,17,0:15:38,0:15:40,07R,171,F,Presque tous les collègues seront là.,6,S,"French Phase 3, Units 1-30 (2005)",20
337,FR,978-1-4423-5033-5,French 3,17,0:17:14,0:17:16,08Q,188,N,Our new client will be there too.,,,"French Phase 3, Units 1-30 (2005)",20
338,FR,978-1-4423-5033-5,French 3,17,0:17:20,0:17:23,08R,189,F,Notre nouveau client sera là aussi.,6,S,"French Phase 3, Units 1-30 (2005)",20
339,FR,978-1-4423-5033-5,French 3,17,0:21:10,0:21:12,09Q,222,N,I’m invited to spend the weekend ---,,,"French Phase 3, Units 1-30 (2005)","1,18"
340,FR,978-1-4423-5033-5,French 3,17,0:21:16,0:21:19,09R,223,M,Je suis invité à passer le weekend ---,7,S,"French Phase 3, Units 1-30 (2005)","1,18"
341,FR,978-1-4423-5033-5,French 3,17,0:25:27,0:25:29,10Q,267,N,I know almost all the colleagues.,,,"French Phase 3, Units 1-30 (2005)",20
342,FR,978-1-4423-5033-5,French 3,17,0:25:33,0:25:35,10R,268,M,Je connais presque tous les collègues.,6,S,"French Phase 3, Units 1-30 (2005)",20
343,FR,978-1-4423-5033-5,French 3,18,0:02:52,0:02:54,01Q,40,N,You could telephone from here.,,,"French Phase 3, Units 1-30 (2005)","3,16"
344,FR,978-1-4423-5033-5,French 3,18,0:02:57,0:02:59,01R,41,F,Vous pourriez téléphoner d’ici.,4,S,"French Phase 3, Units 1-30 (2005)","3,16"
345,FR,978-1-4423-5033-5,French 3,18,0:11:42,0:11:43,02Q,126,N,Our children will be there.,,,"French Phase 3, Units 1-30 (2005)",5
346,FR,978-1-4423-5033-5,French 3,18,0:11:46,0:11:48,02R,127,F,Nos enfants seront là.,4,S,"French Phase 3, Units 1-30 (2005)",5
347,FR,978-1-4423-5033-5,French 3,18,0:12:03,0:12:05,03Q,129,N,Where is the waitress or the waiter?,,,"French Phase 3, Units 1-30 (2005)","4,6"
348,FR,978-1-4423-5033-5,French 3,18,0:12:09,0:12:11,03R,131,F,Où est la serveuse ou le serveur?,7,Q,"French Phase 3, Units 1-30 (2005)","4,6"
349,FR,978-1-4423-5033-5,French 3,18,0:16:45,0:16:46,04Q,178,N,My niece likes to travel.,,,"French Phase 3, Units 1-30 (2005)","5,18"
350,FR,978-1-4423-5033-5,French 3,18,0:16:50,0:16:52,04R,179,M,Ma nièce aime bien voyager.,5,S,"French Phase 3, Units 1-30 (2005)","5,18"
351,FR,978-1-4423-5033-5,French 3,18,0:19:07,0:19:09,05Q,200,N,She just finished her studies.,,,"French Phase 3, Units 1-30 (2005)","7,20"
352,FR,978-1-4423-5033-5,French 3,18,0:19:13,0:19:15,05R,201,M,Elle vient de finir ses études.,6,S,"French Phase 3, Units 1-30 (2005)","7,20"
353,FR,978-1-4423-5033-5,French 3,18,0:19:50,0:19:51,06Q,207,N,Her best friend.,,,"French Phase 3, Units 1-30 (2005)","5,7"
354,FR,978-1-4423-5033-5,French 3,18,0:19:54,0:19:55,06R,208,M,Sa meilleure amie.,3,S,"French Phase 3, Units 1-30 (2005)","5,7"
355,FR,978-1-4423-5033-5,French 3,18,0:27:03,0:27:05,07Q,273,N,And she’s our best client.,,,"French Phase 3, Units 1-30 (2005)",20
356,FR,978-1-4423-5033-5,French 3,18,0:27:10,0:27:13,07R,274,M,Et c’est notre meilleure cliente.,4,S,"French Phase 3, Units 1-30 (2005)",20
357,FR,978-1-4423-5033-5,French 3,18,0:27:45,0:27:47,08Q,280,N,Would you like to go to a concert with me?,,,"French Phase 3, Units 1-30 (2005)",1
358,FR,978-1-4423-5033-5,French 3,18,0:27:52,0:27:55,08R,281,M,Est-ce que vous aimeriez aller à un concert avec moi?,10,Q,"French Phase 3, Units 1-30 (2005)",1
359,FR,978-1-4423-5033-5,French 3,18,0:29:00,0:29:02,09Q,292,N,I’m going to have lunch with my niece ---,,,"French Phase 3, Units 1-30 (2005)","5,6"
360,FR,978-1-4423-5033-5,French 3,18,0:29:06,0:29:08,09R,293,F,Je vais déjeuner avec ma nièce ---,6,S,"French Phase 3, Units 1-30 (2005)","5,6"
361,FR,978-1-4423-5033-5,French 3,18,0:29:25,0:29:26,10Q,296,N,They (f) will be on vacation.,,,"French Phase 3, Units 1-30 (2005)",18
362,FR,978-1-4423-5033-5,French 3,18,0:29:30,0:29:31,10R,297,F,Elles seront en vacances.,4,S,"French Phase 3, Units 1-30 (2005)",18
363,FR,978-1-4423-5033-5,French 3,19,0:04:13,0:04:15,01Q,52,N,My niece’s best friend is very nice.,,,"French Phase 3, Units 1-30 (2005)","5,9"
364,FR,978-1-4423-5033-5,French 3,19,0:04:20,0:04:22,01R,53,F,La meilleure amie de ma nièce est très sympa.,9,S,"French Phase 3, Units 1-30 (2005)","5,9"
365,FR,978-1-4423-5033-5,French 3,19,0:04:52,0:04:55,02Q,58,N,My niece and her best friend will be at my place.,,,"French Phase 3, Units 1-30 (2005)","5,9"
366,FR,978-1-4423-5033-5,French 3,19,0:05:00,0:05:03,02R,59,F,Ma nièce et sa meilleure amie seront chez moi.,9,S,"French Phase 3, Units 1-30 (2005)","5,9"
367,FR,978-1-4423-5033-5,French 3,19,0:08:16,0:08:17,03Q,90,N,Do come in and sit down.,,,"French Phase 3, Units 1-30 (2005)","7,13"
368,FR,978-1-4423-5033-5,French 3,19,0:08:24,0:08:26,03R,91,M,Entrez et asseyez-vous.,3,S,"French Phase 3, Units 1-30 (2005)","7,13"
369,FR,978-1-4423-5033-5,French 3,19,0:08:17,0:08:18,04Q,90,N,I beg of you.,,,"French Phase 3, Units 1-30 (2005)","7,13"
370,FR,978-1-4423-5033-5,French 3,19,0:08:26,0:08:27,04R,91,M,Je vous en prie.,4,S,"French Phase 3, Units 1-30 (2005)","7,13"
371,FR,978-1-4423-5033-5,French 3,19,0:12:54,0:12:57,05Q,136,N,We were just talking about the United States.,,,"French Phase 3, Units 1-30 (2005)","9,18"
372,FR,978-1-4423-5033-5,French 3,19,0:13:02,0:13:05,05R,137,F,On parlait justement des Etats-Unis.,5,S,"French Phase 3, Units 1-30 (2005)","9,18"
373,FR,978-1-4423-5033-5,French 3,19,0:15:28,0:15:31,06Q,157,N,My brother is going to see his new clients ---,,,"French Phase 3, Units 1-30 (2005)","5,20"
374,FR,978-1-4423-5033-5,French 3,19,0:15:36,0:15:39,06R,158,F,Mon frère va voir ses nouveaux clients ---,7,S,"French Phase 3, Units 1-30 (2005)","5,20"
375,FR,978-1-4423-5033-5,French 3,19,0:16:21,0:16:23,07Q,164,N,Does one have the time to visit ---?,,,"French Phase 3, Units 1-30 (2005)","12,17,18"
376,FR,978-1-4423-5033-5,French 3,19,0:16:26,0:16:28,07R,165,F,Est-ce qu’on a le temps de visiter ---?,7,Q,"French Phase 3, Units 1-30 (2005)","12,17,18"
377,FR,978-1-4423-5033-5,French 3,19,0:17:16,0:17:17,08Q,171,N,In two weeks?,,,"French Phase 3, Units 1-30 (2005)","12,17"
378,FR,978-1-4423-5033-5,French 3,19,0:17:20,0:17:21,08R,172,F,En deux semaines?,3,Q,"French Phase 3, Units 1-30 (2005)","12,17"
379,FR,978-1-4423-5033-5,French 3,19,0:24:48,0:24:48,09Q,241,N,In my opinion.,,,"French Phase 3, Units 1-30 (2005)",7
380,FR,978-1-4423-5033-5,French 3,19,0:24:51,0:24:52,09R,242,M,A mon avis.,3,S,"French Phase 3, Units 1-30 (2005)",7
381,FR,978-1-4423-5033-5,French 3,19,0:28:51,0:28:52,10Q,276,N,Where should they go?,,,"French Phase 3, Units 1-30 (2005)","7,18"
382,FR,978-1-4423-5033-5,French 3,19,0:28:55,0:28:58,10R,277,F,Où est-ce qu’ils devraient aller?,5,Q,"French Phase 3, Units 1-30 (2005)","7,18"
383,FR,978-1-4423-5033-5,French 3,20,0:01:44,0:01:46,01Q,28,N,We were just talking about this weekend.,,,"French Phase 3, Units 1-30 (2005)","9,17"
384,FR,978-1-4423-5033-5,French 3,20,0:01:51,0:01:53,01R,29,F,On parlait justement de ce week-end.,6,S,"French Phase 3, Units 1-30 (2005)","9,17"
385,FR,978-1-4423-5033-5,French 3,20,0:04:44,0:04:45,02Q,56,N,They are going to stay three weeks.,,,"French Phase 3, Units 1-30 (2005)","12,18"
386,FR,978-1-4423-5033-5,French 3,20,0:04:49,0:04:51,02R,57,F,Elles vont rester trois semaines.,5,S,"French Phase 3, Units 1-30 (2005)","12,18"
387,FR,978-1-4423-5033-5,French 3,20,0:08:13,0:08:16,03Q,87,N,He and his best friend are going to visit France together.,,,"French Phase 3, Units 1-30 (2005)","5,18"
388,FR,978-1-4423-5033-5,French 3,20,0:08:23,0:08:26,03R,89,M,Lui et son meilleur ami vont visiter la France ensemble.,10,S,"French Phase 3, Units 1-30 (2005)","5,18"
389,FR,978-1-4423-5033-5,French 3,20,0:10:21,0:10:23,04Q,105,N,It’s necessary to visit it.,,,"French Phase 3, Units 1-30 (2005)","7,18"
390,FR,978-1-4423-5033-5,French 3,20,0:10:26,0:10:27,04R,106,F,Il faut la visiter.,4,S,"French Phase 3, Units 1-30 (2005)","7,18"
391,FR,978-1-4423-5033-5,French 3,20,0:15:42,0:15:45,05Q,157,N,My daughter and her boyfriend are going to visit the United States.,,,"French Phase 3, Units 1-30 (2005)","5,18"
392,FR,978-1-4423-5033-5,French 3,20,0:15:52,0:15:56,05R,159,F,Ma fille et son petit ami vont visiter les Etats-Unis.,10,S,"French Phase 3, Units 1-30 (2005)","5,18"
393,FR,978-1-4423-5033-5,French 3,20,0:18:14,0:18:15,06Q,179,N,How did your trip go?,,,"French Phase 3, Units 1-30 (2005)","7,18"
394,FR,978-1-4423-5033-5,French 3,20,0:18:18,0:18:20,06R,181,F,Comment s’est passé votre voyage?,5,Q,"French Phase 3, Units 1-30 (2005)","7,18"
395,FR,978-1-4423-5033-5,French 3,20,0:20:22,0:20:23,07Q,201,N,That went very well.,,,"French Phase 3, Units 1-30 (2005)",7
396,FR,978-1-4423-5033-5,French 3,20,0:20:26,0:20:28,07R,202,M,Ça s’est très bien passé.,5,S,"French Phase 3, Units 1-30 (2005)",7
397,FR,978-1-4423-5033-5,French 3,20,0:20:36,0:20:38,08Q,203,N,The meeting lasted a long time.,,,"French Phase 3, Units 1-30 (2005)","17,20"
398,FR,978-1-4423-5033-5,French 3,20,0:20:41,0:20:43,08R,204,M,La réunion a duré longtemps.,5,S,"French Phase 3, Units 1-30 (2005)","17,20"
399,FR,978-1-4423-5033-5,French 3,20,0:21:01,0:21:03,09Q,206,N,It lasted a long time.,,,"French Phase 3, Units 1-30 (2005)",17
400,FR,978-1-4423-5033-5,French 3,20,0:21:06,0:21:07,09R,207,M,Elle a duré longtemps.,4,S,"French Phase 3, Units 1-30 (2005)",17
401,FR,978-1-4423-5033-5,French 3,20,0:24:44,0:24:46,10Q,237,N,"Next time, I would like to stay longer.",,,"French Phase 3, Units 1-30 (2005)","17,18"
402,FR,978-1-4423-5033-5,French 3,20,0:24:48,0:24:52,10R,239,M,"La prochaine fois, j’aimerais bien rester plus longtemps.",8,S,"French Phase 3, Units 1-30 (2005)","17,18"
403,FR,978-1-4423-5033-5,French 3,21,0:02:28,0:02:29,01Q,36,N,That lasted too long.,,,"French Phase 3, Units 1-30 (2005)","7,17"
404,FR,978-1-4423-5033-5,French 3,21,0:02:33,0:02:35,01R,37,F,Ça a duré trop longtemps.,5,S,"French Phase 3, Units 1-30 (2005)","7,17"
405,FR,978-1-4423-5033-5,French 3,21,0:02:58,0:03:01,02Q,41,N,One cannot see a lot of things in four hours.,,,"French Phase 3, Units 1-30 (2005)","12,17"
406,FR,978-1-4423-5033-5,French 3,21,0:03:07,0:03:09,02R,42,F,On ne peut pas voir beaucoup de choses en quatre heures.,11,S,"French Phase 3, Units 1-30 (2005)","12,17"
407,FR,978-1-4423-5033-5,French 3,21,0:04:50,0:04:52,03Q,56,N,"This time, I went there by car.",,,"French Phase 3, Units 1-30 (2005)","17,18"
408,FR,978-1-4423-5033-5,French 3,21,0:04:58,0:05:00,03R,57,F,"Cette fois-ci, j’y suis allée en voiture.",7,S,"French Phase 3, Units 1-30 (2005)","17,18"
409,FR,978-1-4423-5033-5,French 3,21,0:07:18,0:07:20,04Q,80,N,I had the time to have lunch with my nephew.,,,"French Phase 3, Units 1-30 (2005)","5,6,17"
410,FR,978-1-4423-5033-5,French 3,21,0:07:25,0:07:28,04R,81,F,J’ai eu le temps de déjeuner avec mon neveu.,9,S,"French Phase 3, Units 1-30 (2005)","5,6,17"
411,FR,978-1-4423-5033-5,French 3,21,0:15:00,0:15:01,05Q,147,N,Did you come by car?,,,"French Phase 3, Units 1-30 (2005)",18
412,FR,978-1-4423-5033-5,French 3,21,0:15:06,0:15:07,05R,148,F,Est-ce que vous êtes venu en voiture?,7,Q,"French Phase 3, Units 1-30 (2005)",18
413,FR,978-1-4423-5033-5,French 3,21,0:19:02,0:19:03,06Q,186,N,There was a lot of traffic.,,,"French Phase 3, Units 1-30 (2005)","9,12,18"
414,FR,978-1-4423-5033-5,French 3,21,0:19:08,0:19:10,06R,187,M,Il y avait beaucoup de circulation.,6,S,"French Phase 3, Units 1-30 (2005)","9,12,18"
415,FR,978-1-4423-5033-5,French 3,21,0:20:40,0:20:42,07Q,201,N,Especially at five o’clock.,,,"French Phase 3, Units 1-30 (2005)","12,17"
416,FR,978-1-4423-5033-5,French 3,21,0:20:46,0:20:47,07R,202,F,Surtout à cinq heures.,4,S,"French Phase 3, Units 1-30 (2005)","12,17"
417,FR,978-1-4423-5033-5,French 3,21,0:21:47,0:21:49,08Q,212,N,There was too much traffic on the highway.,,,"French Phase 3, Units 1-30 (2005)","9,12,18"
418,FR,978-1-4423-5033-5,French 3,21,0:21:54,0:21:57,08R,213,F,Il y avait trop de circulation sur l’autoroute.,8,S,"French Phase 3, Units 1-30 (2005)","9,12,18"
419,FR,978-1-4423-5033-5,French 3,21,0:23:44,0:23:47,09Q,232,N,The speed is limited to how much?,,,"French Phase 3, Units 1-30 (2005)","12,18"
420,FR,978-1-4423-5033-5,French 3,21,0:23:50,0:23:52,09R,233,F,La vitesse est limitée à combien?,6,Q,"French Phase 3, Units 1-30 (2005)","12,18"
421,FR,978-1-4423-5033-5,French 3,21,0:24:23,0:24:25,10Q,238,N,A hundred five kilometers an hour.,,,"French Phase 3, Units 1-30 (2005)","12,17"
422,FR,978-1-4423-5033-5,French 3,21,0:24:28,0:24:30,10R,239,M,Cent cinq kilomètres à l’heure.,5,S,"French Phase 3, Units 1-30 (2005)","12,17"
423,FR,978-1-4423-5033-5,French 3,22,0:03:42,0:03:45,01Q,45,N,The speed is limited to a hundred thirty kilometers an hour.,,,"French Phase 3, Units 1-30 (2005)","12,17"
424,FR,978-1-4423-5033-5,French 3,22,0:03:51,0:03:54,01R,46,F,La vitesse est limitée à cent trente kilomètres à l’heure.,10,S,"French Phase 3, Units 1-30 (2005)","12,17"
425,FR,978-1-4423-5033-5,French 3,22,0:05:01,0:05:03,02Q,56,N,"Usually, there’s a lot of traffic.",,,"French Phase 3, Units 1-30 (2005)","9,12,18"
426,FR,978-1-4423-5033-5,French 3,22,0:05:09,0:05:12,02R,57,M,"D’habitude, il y a beaucoup de circulation.",7,S,"French Phase 3, Units 1-30 (2005)","9,12,18"
427,FR,978-1-4423-5033-5,French 3,22,0:05:27,0:05:28,03Q,59,N,Especially in the morning.,,,"French Phase 3, Units 1-30 (2005)",17
428,FR,978-1-4423-5033-5,French 3,22,0:05:33,0:05:34,03R,60,M,Surtout le matin.,3,S,"French Phase 3, Units 1-30 (2005)",17
429,FR,978-1-4423-5033-5,French 3,22,0:13:37,0:13:38,04Q,136,N,For the day.,,,"French Phase 3, Units 1-30 (2005)","7,17"
430,FR,978-1-4423-5033-5,French 3,22,0:13:41,0:13:42,04R,137,F,Pour la journée.,3,S,"French Phase 3, Units 1-30 (2005)","7,17"
431,FR,978-1-4423-5033-5,French 3,22,0:14:07,0:14:09,05Q,142,N,We’re going to spend the day in Deauville.,,,"French Phase 3, Units 1-30 (2005)","17,18"
432,FR,978-1-4423-5033-5,French 3,22,0:14:13,0:14:15,05R,143,F,On va passer la journée à Deauville.,7,S,"French Phase 3, Units 1-30 (2005)","17,18"
433,FR,978-1-4423-5033-5,French 3,22,0:16:50,0:16:51,06Q,169,N,I didn’t know.,,,"French Phase 3, Units 1-30 (2005)",7
434,FR,978-1-4423-5033-5,French 3,22,0:16:54,0:16:55,06R,170,F,Je ne savais pas.,4,S,"French Phase 3, Units 1-30 (2005)",7
435,FR,978-1-4423-5033-5,French 3,22,0:18:18,0:18:19,07Q,183,N,The project is completed.,,,"French Phase 3, Units 1-30 (2005)",20
436,FR,978-1-4423-5033-5,French 3,22,0:18:23,0:18:25,07R,184,M,Le projet est terminé.,4,S,"French Phase 3, Units 1-30 (2005)",20
437,FR,978-1-4423-5033-5,French 3,22,0:18:31,0:18:32,08Q,185,N,You’re leaving for England?,,,"French Phase 3, Units 1-30 (2005)",18
438,FR,978-1-4423-5033-5,French 3,22,0:18:35,0:18:37,08R,186,F,Vous partez en Angleterre?,4,Q,"French Phase 3, Units 1-30 (2005)",18
439,FR,978-1-4423-5033-5,French 3,22,0:18:53,0:18:54,09Q,189,N,Me neither.,,,"French Phase 3, Units 1-30 (2005)",7
440,FR,978-1-4423-5033-5,French 3,22,0:18:56,0:18:57,09R,190,M,Moi non plus.,3,S,"French Phase 3, Units 1-30 (2005)",7
441,FR,978-1-4423-5033-5,French 3,22,0:19:38,0:19:40,10Q,198,N,I was told that only yesterday.,,,"French Phase 3, Units 1-30 (2005)",17
442,FR,978-1-4423-5033-5,French 3,22,0:19:42,0:19:44,10R,199,M,On m’a dit ça seulement hier.,6,S,"French Phase 3, Units 1-30 (2005)",17
443,FR,978-1-4423-5033-5,French 3,22,0:21:46,0:21:48,11Q,221,N,The project lasted three months.,,,"French Phase 3, Units 1-30 (2005)","12,17,20"
444,FR,978-1-4423-5033-5,French 3,22,0:21:53,0:21:55,11R,222,M,Le projet a duré trois mois.,6,S,"French Phase 3, Units 1-30 (2005)","12,17,20"
445,FR,978-1-4423-5033-5,French 3,23,0:06:49,0:06:51,01Q,68,N,I heard that you’re leaving soon.,,,"French Phase 3, Units 1-30 (2005)","17,18"
446,FR,978-1-4423-5033-5,French 3,23,0:06:53,0:06:55,01R,70,F,Il parait que vous partez bientôt.,6,S,"French Phase 3, Units 1-30 (2005)","17,18"
447,FR,978-1-4423-5033-5,French 3,23,0:11:52,0:11:54,02Q,118,N,He’s going back next week.,,,"French Phase 3, Units 1-30 (2005)","9,17,18"
448,FR,978-1-4423-5033-5,French 3,23,0:11:58,0:12:00,02R,119,M,Il rentre la semaine prochaine.,5,S,"French Phase 3, Units 1-30 (2005)","9,17,18"
449,FR,978-1-4423-5033-5,French 3,23,0:12:32,0:12:33,03Q,124,N,What beautiful flowers.,,,"French Phase 3, Units 1-30 (2005)","9,14"
450,FR,978-1-4423-5033-5,French 3,23,0:12:36,0:12:37,03R,125,F,Quelles belles fleurs.,3,S,"French Phase 3, Units 1-30 (2005)","9,14"
451,FR,978-1-4423-5033-5,French 3,23,0:15:59,0:16:00,04Q,163,N,He is still upstairs.,,,"French Phase 3, Units 1-30 (2005)","4,9"
452,FR,978-1-4423-5033-5,French 3,23,0:16:03,0:16:04,04R,164,F,Il est encore en haut.,5,S,"French Phase 3, Units 1-30 (2005)","4,9"
453,FR,978-1-4423-5033-5,French 3,23,0:17:19,0:17:20,05Q,175,N,I’m going to bring you the wine.,,,"French Phase 3, Units 1-30 (2005)",6
454,FR,978-1-4423-5033-5,French 3,23,0:17:23,0:17:25,05R,176,F,Je vais vous apporter le vin.,6,S,"French Phase 3, Units 1-30 (2005)",6
455,FR,978-1-4423-5033-5,French 3,23,0:18:24,0:18:25,06Q,186,N,What a beautiful garden.,,,"French Phase 3, Units 1-30 (2005)",9
456,FR,978-1-4423-5033-5,French 3,23,0:18:28,0:18:29,06R,187,M,Quel beau jardin.,3,S,"French Phase 3, Units 1-30 (2005)",9
457,FR,978-1-4423-5033-5,French 3,23,0:19:52,0:19:54,07Q,200,N,I was upstairs with the children.,,,"French Phase 3, Units 1-30 (2005)","4,5"
458,FR,978-1-4423-5033-5,French 3,23,0:19:58,0:20:00,07R,202,M,J’étais en haut avec les enfants.,6,S,"French Phase 3, Units 1-30 (2005)","4,5"
459,FR,978-1-4423-5033-5,French 3,23,0:22:13,0:22:14,08Q,226,N,"Can you (familiar) bring me a beer, please?",,,"French Phase 3, Units 1-30 (2005)","6,13"
460,FR,978-1-4423-5033-5,French 3,23,0:22:20,0:22:22,08R,227,M,"Est-ce que tu peux m’apporter une bière, s’il te plaît?",10,Q,"French Phase 3, Units 1-30 (2005)","6,13"
461,FR,978-1-4423-5033-5,French 3,23,0:25:26,0:25:28,09Q,256,N,Here the project is almost completed.,,,"French Phase 3, Units 1-30 (2005)","9,20"
462,FR,978-1-4423-5033-5,French 3,23,0:25:34,0:25:36,09R,257,M,Ici le projet est presque terminé.,6,S,"French Phase 3, Units 1-30 (2005)","9,20"
463,FR,978-1-4423-5033-5,French 3,23,0:29:36,0:29:38,10Q,293,N,Can I bring you another beer?,,,"French Phase 3, Units 1-30 (2005)",6
464,FR,978-1-4423-5033-5,French 3,23,0:29:42,0:29:44,10R,294,F,Est-ce que je peux vous apporter une autre bière?,9,Q,"French Phase 3, Units 1-30 (2005)",6
465,FR,978-1-4423-5033-5,French 3,24,0:04:22,0:04:25,01Q,51,N,Say that it’s necessary that you go back next week.,,,"French Phase 3, Units 1-30 (2005)","9,17,18"
466,FR,978-1-4423-5033-5,French 3,24,0:04:30,0:04:33,01R,52,M,Il faut que je rentre la semaine prochaine.,8,S,"French Phase 3, Units 1-30 (2005)","9,17,18"
467,FR,978-1-4423-5033-5,French 3,24,0:06:03,0:06:04,02Q,67,N,If you don’t mind.,,,"French Phase 3, Units 1-30 (2005)","7,13"
468,FR,978-1-4423-5033-5,French 3,24,0:06:06,0:06:08,02R,68,M,Si ça ne vous ennuie pas.,6,S,"French Phase 3, Units 1-30 (2005)","7,13"
469,FR,978-1-4423-5033-5,French 3,24,0:09:25,0:09:26,03Q,100,N,I’d like to go to see the church.,,,"French Phase 3, Units 1-30 (2005)","1,9"
470,FR,978-1-4423-5033-5,French 3,24,0:09:30,0:09:33,03R,101,M,J’aimerais bien aller voir l’église.,5,S,"French Phase 3, Units 1-30 (2005)","1,9"
471,FR,978-1-4423-5033-5,French 3,24,0:10:31,0:10:32,04Q,108,N,I have a book on this church.,,,"French Phase 3, Units 1-30 (2005)",9
472,FR,978-1-4423-5033-5,French 3,24,0:10:36,0:10:39,04R,109,F,J’ai un livre sur cette église.,6,S,"French Phase 3, Units 1-30 (2005)",9
473,FR,978-1-4423-5033-5,French 3,24,0:10:50,0:10:52,05Q,111,N,It’s in my car.,,,"French Phase 3, Units 1-30 (2005)",18
474,FR,978-1-4423-5033-5,French 3,24,0:10:55,0:10:56,05R,112,F,Il est dans ma voiture.,5,S,"French Phase 3, Units 1-30 (2005)",18
475,FR,978-1-4423-5033-5,French 3,24,0:18:50,0:18:54,06Q,189,N,Do you do sports?,,,"French Phase 3, Units 1-30 (2005)","1,7"
476,FR,978-1-4423-5033-5,French 3,24,0:18:55,0:18:59,06R,190,M,Est-ce que vous faites du sport?,6,Q,"French Phase 3, Units 1-30 (2005)","1,7"
477,FR,978-1-4423-5033-5,French 3,24,0:19:39,0:19:41,07Q,195,N,Golf is pretty expensive.,,,"French Phase 3, Units 1-30 (2005)",14
478,FR,978-1-4423-5033-5,French 3,24,0:19:44,0:19:46,07R,196,M,Le golf est assez cher.,5,S,"French Phase 3, Units 1-30 (2005)",14
479,FR,978-1-4423-5033-5,French 3,24,0:21:50,0:21:54,08Q,215,N,There are some courts around here.,,,"French Phase 3, Units 1-30 (2005)",1
480,FR,978-1-4423-5033-5,French 3,24,0:21:55,0:21:59,08R,216,F,Il y a des courts par ici.,7,S,"French Phase 3, Units 1-30 (2005)",1
481,FR,978-1-4423-5033-5,French 3,24,0:23:36,0:23:37,09Q,232,N,The flowers weren’t very beautiful.,,,"French Phase 3, Units 1-30 (2005)",9
482,FR,978-1-4423-5033-5,French 3,24,0:23:41,0:23:42,09R,233,M,Les fleurs n’étaient pas très belles.,6,S,"French Phase 3, Units 1-30 (2005)",9
483,FR,978-1-4423-5033-5,French 3,24,0:25:44,0:25:46,10Q,254,N,What do you do in order to relax?,,,"French Phase 3, Units 1-30 (2005)",1
484,FR,978-1-4423-5033-5,French 3,24,0:25:50,0:25:51,10R,255,F,Qu’est-ce que vous faites pour vous détendre?,7,Q,"French Phase 3, Units 1-30 (2005)",1
485,FR,978-1-4423-5033-5,French 3,25,0:03:25,0:03:27,01Q,46,N,I’m going to bring you a glass of water.,,,"French Phase 3, Units 1-30 (2005)",6
486,FR,978-1-4423-5033-5,French 3,25,0:03:30,0:03:32,01R,47,F,Je vais vous apporter un verre d’eau.,7,S,"French Phase 3, Units 1-30 (2005)",6
487,FR,978-1-4423-5033-5,French 3,25,0:10:48,0:10:50,02Q,119,N,"But golf, that takes a lot of time.",,,"French Phase 3, Units 1-30 (2005)","1,17"
488,FR,978-1-4423-5033-5,French 3,25,0:10:55,0:10:57,02R,120,F,"Mais le golf, ça prend beaucoup de temps.",8,S,"French Phase 3, Units 1-30 (2005)","1,17"
489,FR,978-1-4423-5033-5,French 3,25,0:11:11,0:11:13,03Q,122,N,I play a little tennis.,,,"French Phase 3, Units 1-30 (2005)",1
490,FR,978-1-4423-5033-5,French 3,25,0:11:17,0:11:18,03R,123,F,Je joue un peu au tennis.,6,S,"French Phase 3, Units 1-30 (2005)",1
491,FR,978-1-4423-5033-5,French 3,25,0:13:03,0:13:04,04Q,142,N,She’s looking for some work.,,,"French Phase 3, Units 1-30 (2005)","7,20"
492,FR,978-1-4423-5033-5,French 3,25,0:13:08,0:13:09,04R,143,F,Elle cherche du travail.,4,S,"French Phase 3, Units 1-30 (2005)","7,20"
493,FR,978-1-4423-5033-5,French 3,25,0:13:31,0:13:32,05Q,147,N,What kind of job?,,,"French Phase 3, Units 1-30 (2005)","7,20"
494,FR,978-1-4423-5033-5,French 3,25,0:13:35,0:13:36,05R,148,M,Quel genre de travail?,4,Q,"French Phase 3, Units 1-30 (2005)","7,20"
495,FR,978-1-4423-5033-5,French 3,25,0:14:12,0:14:14,06Q,152,N,What kind of job is she looking for?,,,"French Phase 3, Units 1-30 (2005)","7,20"
496,FR,978-1-4423-5033-5,French 3,25,0:14:18,0:14:20,06R,153,M,Quel genre de travail est-ce qu’elle cherche?,7,Q,"French Phase 3, Units 1-30 (2005)","7,20"
497,FR,978-1-4423-5033-5,French 3,25,0:15:26,0:15:28,07Q,161,N,She’s looking for a job as a teacher.,,,"French Phase 3, Units 1-30 (2005)","5,20"
498,FR,978-1-4423-5033-5,French 3,25,0:15:32,0:15:34,07R,162,F,Elle cherche un travail de professeur.,6,S,"French Phase 3, Units 1-30 (2005)","5,20"
499,FR,978-1-4423-5033-5,French 3,25,0:17:56,0:17:59,08Q,184,N,She wants to be a history teacher in high school.,,,"French Phase 3, Units 1-30 (2005)","5,20"
500,FR,978-1-4423-5033-5,French 3,25,0:18:03,0:18:06,08R,185,F,Elle veut être professeur d’histoire au lycèe.,7,S,"French Phase 3, Units 1-30 (2005)","5,20"
501,FR,978-1-4423-5033-5,French 3,25,0:18:36,0:18:38,09Q,191,N,She has always wanted to be a teacher.,,,"French Phase 3, Units 1-30 (2005)","5,20"
