Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,Cluster,Qz #,Spkr,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
968,968,RU,9781508236009,Russian 4,16,,,U16-01,01R_D,F,"Я уверена, это будет дорого!","Ia uverena, èto budet dorogo!",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0968.mp3,"7,11,14"
969,969,RU,9781508236009,Russian 4,16,,,U16-02,02Q_A,N,I’m sure you will like it. (f),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0969.mp3,"1,7,9"
970,970,RU,9781508236009,Russian 4,16,,,U16-02,02R_A,F,"Я уверена, Вам понравится.","Ia uverena, Vam ponravitsia.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0970.mp3,"1,7,9"
971,971,RU,9781508236009,Russian 4,16,,,U16-02,02Q_B,N,I’m sure you can learn how to. (f),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0971.mp3,"1,7,9"
972,972,RU,9781508236009,Russian 4,16,,,U16-02,02R_B,F,"Я уверена, Вы можете научиться.","Ia uverena, Vy mozhete nauchit’sia.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0972.mp3,"1,7,9"
973,973,RU,9781508236009,Russian 4,16,,,U16-02,02Q_C,N,I’m sure you can find an apartment. (f),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0973.mp3,"9,14"
974,974,RU,9781508236009,Russian 4,16,,,U16-02,02R_C,F,"Я уверена, Вы можете найти квартиру.","Ia uverena, Vy mozhete najti kvartiru.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0974.mp3,"9,14"
975,975,RU,9781508236009,Russian 4,16,,,U16-02,02Q_D,N,I’m sure you can buy a car. (f),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0975.mp3,14
976,976,RU,9781508236009,Russian 4,16,,,U16-02,02R_D,F,"Я уверена, Вы можете купить машину.","Ia uverena, Vy mozhete kupit' mashinu.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0976.mp3,14
977,977,RU,9781508236009,Russian 4,16,,,U16-03,03Q_A,N,I for now don’t know how to read.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0977.mp3,"1,15,17"
978,978,RU,9781508236009,Russian 4,16,,,U16-03,03R_A,M,Я пока ещё не умею читать.,Ia poka eshchio ne umeiu chitat’.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0978.mp3,"1,15,17"
979,979,RU,9781508236009,Russian 4,16,,,U16-03,03Q_B,N,I for now don’t know how to cook.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0979.mp3,"6,17"
980,980,RU,9781508236009,Russian 4,16,,,U16-03,03R_B,M,Я пока ещё не умею готовить.,Ia poka eshchio ne umeiu gotovit'.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0980.mp3,"6,17"
981,981,RU,9781508236009,Russian 4,16,,,U16-03,03Q_C,N,I for now don’t know what her name is.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0981.mp3,"9,17"
982,982,RU,9781508236009,Russian 4,16,,,U16-03,03R_C,M,"Я пока ещё не знаю, как её зовут.","Ia poka eshchio ne znaiu, kak eio zovut.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0982.mp3,"9,17"
983,983,RU,9781508236009,Russian 4,16,,,U16-03,03Q_D,N,I for now don’t know how old she is.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0983.mp3,"9,17"
984,984,RU,9781508236009,Russian 4,16,,,U16-03,03R_D,F,"Я пока ещё не знаю, сколько ей лет.","Ia poka eshchio ne znaiu, skol'ko ej let.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0984.mp3,"9,17"
985,985,RU,9781508236009,Russian 4,16,,,U16-04,04Q_A,N,I know that you know how to cook a little.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0985.mp3,"6,9"
986,986,RU,9781508236009,Russian 4,16,,,U16-04,04R_A,F,"Я знаю, что Вы немного умеете готовить.","Ia znaiu, chto Vy nemnogo umeete gotovit’.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0986.mp3,"6,9"
987,987,RU,9781508236009,Russian 4,16,,,U16-04,04Q_B,N,I know that you know how to read a little.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0987.mp3,"9,15"
988,988,RU,9781508236009,Russian 4,16,,,U16-04,04R_B,M,"Я знаю, что Вы немного умеете читаь.","Ia znaiu, chto Vy nemnogo umeete chitat'.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0988.mp3,"9,15"
989,989,RU,9781508236009,Russian 4,16,,,U16-04,04Q_C,N,I know that you need to get the meeting ready.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0989.mp3,"9,20"
990,990,RU,9781508236009,Russian 4,16,,,U16-04,04R_C,M,"Я знаю, что Вам надо подготовить встречу.","Ia znaiu, chto Vam nado podgotovit' vstrechu.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0990.mp3,"9,20"
991,991,RU,9781508236009,Russian 4,16,,,U16-04,04Q_D,N,I know that you will like cooking.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0991.mp3,"6,9"
992,992,RU,9781508236009,Russian 4,16,,,U16-04,04R_D,F,"Я знаю, что Вам понравится готовить.","Ia znaiu, chto Vam ponravitsia gotovit'.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0992.mp3,"6,9"
993,993,RU,9781508236009,Russian 4,16,,,U16-05,05Q_A,N,I'm not sure. (m),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0993.mp3,"7,16"
994,994,RU,9781508236009,Russian 4,16,,,U16-05,05R_A,M,Я не уверен.,Ia ne uveren.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0994.mp3,"7,16"
995,995,RU,9781508236009,Russian 4,16,,,U16-05,05Q_B,N,I didn't forget. (m),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0995.mp3,"7,9,16"
996,996,RU,9781508236009,Russian 4,16,,,U16-05,05R_B,M,Я не забыл.,Ia ne zabyl.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0996.mp3,"7,9,16"
997,997,RU,9781508236009,Russian 4,16,,,U16-05,05Q_C,N,I won't be able to.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0997.mp3,"7,9,16"
998,998,RU,9781508236009,Russian 4,16,,,U16-05,05R_C,F,Я не смогу.,Ia ne smogu.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0998.mp3,"7,9,16"
999,999,RU,9781508236009,Russian 4,16,,,U16-05,05Q_D,N,I couldn't. (m),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0999.mp3,"7,9,16"
1000,1000,RU,9781508236009,Russian 4,16,,,U16-05,05R_D,M,Я не мог.,Ia ne mog.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1000.mp3,"7,9,16"
1001,1001,RU,9781508236009,Russian 4,16,,,U16-06,06Q_A,N,I don’t know how to cook.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1001.mp3,"1,6,7,9"
1002,1002,RU,9781508236009,Russian 4,16,,,U16-06,06R_A,M,Я не умею готовить.,Ia ne umeiu gotovit’.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1002.mp3,"1,6,7,9"
1003,1003,RU,9781508236009,Russian 4,16,,,U16-06,06Q_B,N,I don't know how to play chess.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1003.mp3,"1,7"
1004,1004,RU,9781508236009,Russian 4,16,,,U16-06,06R_B,M,Я не умею играть в шахматы.,Ia ne umeiu igrat' v shahmaty.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1004.mp3,"1,7"
1005,1005,RU,9781508236009,Russian 4,16,,,U16-06,06Q_C,N,I don't know how the weather is now .,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1005.mp3,"9,17,19"
1006,1006,RU,9781508236009,Russian 4,16,,,U16-06,06R_C,F,"Я не знаю, какая сейчас погода .","Ia ne znaiu, kakaia sejchas pogoda.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1006.mp3,"9,17,19"
1007,1007,RU,9781508236009,Russian 4,16,,,U16-06,06Q_D,N,I don't know what time it is now.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1007.mp3,"7,16,17"
1008,1008,RU,9781508236009,Russian 4,16,,,U16-06,06R_D,F,"Я не знаю, который сейчас час.","Ia ne znaiu, katoryj sejchas chas.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1008.mp3,"7,16,17"
1009,1009,RU,9781508236009,Russian 4,16,,,U16-07,07Q_A,N,I cook every day.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1009.mp3,"1,6,9"
1010,1010,RU,9781508236009,Russian 4,16,,,U16-07,07R_A,M,Я готовлю каждый день.,Ia gotovliu kazhdyj den’.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1010.mp3,"1,6,9"
1011,1011,RU,9781508236009,Russian 4,16,,,U16-07,07Q_B,N,I know how to cook various dishes.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1011.mp3,"1,6,9"
1012,1012,RU,9781508236009,Russian 4,16,,,U16-07,07R_B,M,Я умею готовить разные блюда.,Ia umeiu gotovit' raznije bliuda.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1012.mp3,"1,6,9"
1013,1013,RU,9781508236009,Russian 4,16,,,U16-07,07Q_C,N,I cook for children.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1013.mp3,"1,5,6,9"
1014,1014,RU,9781508236009,Russian 4,16,,,U16-07,07R_C,M,Я готовлю для детей.,Ia gotovliu dlia detej.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1014.mp3,"1,5,6,9"
1015,1015,RU,9781508236009,Russian 4,16,,,U16-07,07Q_D,N,I recommend to cook at home.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1015.mp3,"1,7"
1016,1016,RU,9781508236009,Russian 4,16,,,U16-07,07R_D,F,Я рекомендую готовить дома.,Ia rekomenduiu gotovit' doma.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1016.mp3,"1,7"
1017,1017,RU,9781508236009,Russian 4,16,,,U16-08,08Q_A,N,I want to learn how to cook.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1017.mp3,"1,6,9"
1018,1018,RU,9781508236009,Russian 4,16,,,U16-08,08R_A,F,Я хочу научиться готовить.,Ia hochu nauchit’sia gotovit’.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1018.mp3,"1,6,9"
1019,1019,RU,9781508236009,Russian 4,16,,,U16-08,08Q_B,N,I want to talk with her.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1019.mp3,"1,3,7"
1020,1020,RU,9781508236009,Russian 4,16,,,U16-08,08R_B,F,Я хочу поговорить с ней.,Ia hochu pogovorit' s nej.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1020.mp3,"1,3,7"
1021,1021,RU,9781508236009,Russian 4,16,,,U16-08,08Q_C,N,I want to say hi to her.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1021.mp3,"1,7,13"
1022,1022,RU,9781508236009,Russian 4,16,,,U16-08,08R_C,M,Я хочу передать ей привет.,Ia hochu peredat' ej privet.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1022.mp3,"1,7,13"
1023,1023,RU,9781508236009,Russian 4,16,,,U16-08,08Q_D,N,I want to cook .,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1023.mp3,"1,6,7"
1024,1024,RU,9781508236009,Russian 4,16,,,U16-08,08R_D,M,Я хочу готовить.,Ia hochu gotovit'.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1024.mp3,"1,6,7"
1025,1025,RU,9781508236009,Russian 4,17,,,U17-01,01Q_A,N,What do you like [love] to be eating for breakfast?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1025.mp3,"6,7,9"
1026,1026,RU,9781508236009,Russian 4,17,,,U17-01,01R_A,F,Что Вы любите есть на завтрак?,Chto Vy liubite est’ na zavtrak?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1026.mp3,"6,7,9"
1027,1027,RU,9781508236009,Russian 4,17,,,U17-01,01Q_B,N,What do you like [love] for lunch?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1027.mp3,"6,7,9"
1028,1028,RU,9781508236009,Russian 4,17,,,U17-01,01R_B,F,Что Вы любите на обед?,Chto Vy liubite [love] na obed?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1028.mp3,"6,7,9"
1029,1029,RU,9781508236009,Russian 4,17,,,U17-01,01Q_C,N,What do you like [love] to cook?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1029.mp3,"6,7,9"
1030,1030,RU,9781508236009,Russian 4,17,,,U17-01,01R_C,F,Что Вы любите готовить?,Chto Vy liubite gotovit'?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1030.mp3,"6,7,9"
1031,1031,RU,9781508236009,Russian 4,17,,,U17-01,01Q_D,N,What do you like [love] to do?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1031.mp3,"1,7,9"
1032,1032,RU,9781508236009,Russian 4,17,,,U17-01,01R_D,M,Чем Вы любите заниматься?,Chem Vy liubite zanimat’sia?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1032.mp3,"1,7,9"
1033,1033,RU,9781508236009,Russian 4,17,,,U17-02,02Q_A,N,Light blue very much works for you!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1033.mp3,"9,14"
1034,1034,RU,9781508236009,Russian 4,17,,,U17-02,02R_A,M,Голубой Вам очень подходит!,Goluboj Vam ochen’ podhodit!,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1034.mp3,"9,14"
1035,1035,RU,9781508236009,Russian 4,17,,,U17-02,02Q_B,N,Yellow very much works for you!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1035.mp3,"9,14"
1036,1036,RU,9781508236009,Russian 4,17,,,U17-02,02R_B,F,Жёлтый Вам очень подходит!,Zhioltyj Vam ochen' podhodit!,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1036.mp3,"9,14"
1037,1037,RU,9781508236009,Russian 4,17,,,U17-02,02Q_C,N,This car very much works for you!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1037.mp3,"9,18"
1038,1038,RU,9781508236009,Russian 4,17,,,U17-02,02R_C,F,Эта машина Вам очень подходит!,Èta mashina Vam ochen' podhodit!,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1038.mp3,"9,18"
1039,1039,RU,9781508236009,Russian 4,17,,,U17-02,02Q_D,N,This project very much works for you!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1039.mp3,"9,20"
1040,1040,RU,9781508236009,Russian 4,17,,,U17-02,02R_D,F,Этот проект Вам очень подходит!,Ètot proekt Vam ochen' podhodit!,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1040.mp3,"9,20"
1041,1041,RU,9781508236009,Russian 4,17,,,U17-03,03Q_A,N,Usually I cook eggs.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1041.mp3,"1,6,9"
1042,1042,RU,9781508236009,Russian 4,17,,,U17-03,03R_A,M,Обычно я готовлю яйца.,Obychno ia gotovliu iajtsa.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1042.mp3,"1,6,9"
1043,1043,RU,9781508236009,Russian 4,17,,,U17-03,03Q_B,N,Usually I go on foot.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1043.mp3,"1,9"
1044,1044,RU,9781508236009,Russian 4,17,,,U17-03,03R_B,M,Обычно я хожу пешком.,Obychno ia hozhu peshkom.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1044.mp3,"1,9"
1045,1045,RU,9781508236009,Russian 4,17,,,U17-03,03Q_C,N,Usually I love to cook.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1045.mp3,"1,6,9"
1046,1046,RU,9781508236009,Russian 4,17,,,U17-03,03R_C,F,Обычнo Я люблю готовить.,Obychno Ia liubliu gotovit'.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1046.mp3,"1,6,9"
1047,1047,RU,9781508236009,Russian 4,17,,,U17-03,03Q_D,N,Usually I speak in Russian.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1047.mp3,"1,9,10,15"
1048,1048,RU,9781508236009,Russian 4,17,,,U17-03,03R_D,F,Обычно я говорю по-русски.,Obychno ia govoriu po-russki.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1048.mp3,"1,9,10,15"
1049,1049,RU,9781508236009,Russian 4,17,,,U17-04,04Q_A,N,Over there it’s possible to buy any groceries.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1049.mp3,"4,6,9,14"
1050,1050,RU,9781508236009,Russian 4,17,,,U17-04,04R_A,M,Там можно купить любые продукты.,Tam mozhno kupit’ liubye produkty.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1050.mp3,"4,6,9,14"
1051,1051,RU,9781508236009,Russian 4,17,,,U17-04,04Q_B,N,Over there it’s possible to eat any dishes.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1051.mp3,"1,4,6,9"
1052,1052,RU,9781508236009,Russian 4,17,,,U17-04,04R_B,M,Там можно есть любые блюда.,Tam mozhno est’ liubye bliuda.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1052.mp3,"1,4,6,9"
1053,1053,RU,9781508236009,Russian 4,17,,,U17-04,04Q_C,N,Over there it's possible to order any dishes.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1053.mp3,"1,4,6,9"
1054,1054,RU,9781508236009,Russian 4,17,,,U17-04,04R_C,M,Там можно заказать любые блюда.,Tam mozhno zakazat' ljubye bliuda.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1054.mp3,"1,4,6,9"
1055,1055,RU,9781508236009,Russian 4,17,,,U17-04,04Q_D,N,Over there it's possible to swim all day.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1055.mp3,"1,4,9"
1056,1056,RU,9781508236009,Russian 4,17,,,U17-04,04R_D,F,Там можно купаться весь день.,Tam mozhno kupat'sia ves' den'.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1056.mp3,"1,4,9"
1057,1057,RU,9781508236009,Russian 4,17,,,U17-05,05Q_A,N,Can I ask you to bring Russian dishes?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1057.mp3,"6,13"
1058,1058,RU,9781508236009,Russian 4,17,,,U17-05,05R_A,F,Можно попросить Вас принести русские блюда?,Mozhno poprosit’ Vas prinesti russkie bliuda?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1058.mp3,"6,13"
1059,1059,RU,9781508236009,Russian 4,17,,,U17-05,05Q_B,N,Is it possible to ask to reschedule the meeting?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1059.mp3,"9,13,20"
1060,1060,RU,9781508236009,Russian 4,17,,,U17-05,05R_B,F,Можно попросить перенести встречу?,Mozhno poprosit' perenesti vstrechu?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1060.mp3,"9,13,20"
1061,1061,RU,9781508236009,Russian 4,17,,,U17-05,05Q_C,N,Is it possible to try these pastries?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1061.mp3,"1,6,9,13"
1062,1062,RU,9781508236009,Russian 4,17,,,U17-05,05R_C,M,Можно попробовать эти пирожные?,Mozhno poprobovat' èti pirozhenije.,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1062.mp3,"1,6,9,13"
1063,1063,RU,9781508236009,Russian 4,17,,,U17-05,05Q_D,N,Can I ask you to read this address?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1063.mp3,"13,15"
1064,1064,RU,9781508236009,Russian 4,17,,,U17-05,05R_D,M,Можно попросить Вас прочитать этот адрес?,Mozhno poprosit' Vas prochitat' ètot adres?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1064.mp3,"13,15"
1065,1065,RU,9781508236009,Russian 4,17,,,U17-06,06Q_A,N,I can bring any groceries.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1065.mp3,6
1066,1066,RU,9781508236009,Russian 4,17,,,U17-06,06R_A,M,Я могу принести любые продукты.,Ia mogu prinesti liubye produkty.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1066.mp3,6
1067,1067,RU,9781508236009,Russian 4,17,,,U17-06,06Q_B,N,I can bring you to the pharmacy. (informal),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1067.mp3,"8,16"
1068,1068,RU,9781508236009,Russian 4,17,,,U17-06,06R_B,F,Я могу отвезти тебя в аптеку.,Ia mogu otvezti tebia v apteku.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1068.mp3,"8,16"
1069,1069,RU,9781508236009,Russian 4,17,,,U17-06,06Q_C,N,I can bring a big cake.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1069.mp3,6
1070,1070,RU,9781508236009,Russian 4,17,,,U17-06,06R_C,F,Я могу принести большой торт.,Ia mogu prinesti bol'shoj tort.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1070.mp3,6
1071,1071,RU,9781508236009,Russian 4,17,,,U17-06,06Q_D,N,I can show you on the map. (informal),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1071.mp3,"4,16"
1072,1072,RU,9781508236009,Russian 4,17,,,U17-06,06R_D,M,Я могу показать тебе на карте.,Ia mogu pokazat' tebe na karte.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1072.mp3,"4,16"
1073,1073,RU,9781508236009,Russian 4,17,,,U17-07,07Q_A,N,I only know how to play cards!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1073.mp3,"1,9"
1074,1074,RU,9781508236009,Russian 4,17,,,U17-07,07R_A,M,Я умею играть только в карты!,Ia umeiu igrat’ tol’ko v karty!,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1074.mp3,"1,9"
1075,1075,RU,9781508236009,Russian 4,17,,,U17-07,07Q_B,N,I only know how to read in English!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1075.mp3,"1,9,15,16"
1076,1076,RU,9781508236009,Russian 4,17,,,U17-07,07R_B,F,Я умею читать только по-английски!,Ia umeiu chitat’ tol’ko po-anglijski!,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1076.mp3,"1,9,15,16"
1077,1077,RU,9781508236009,Russian 4,17,,,U17-07,07Q_C,N,Only I don't know how the meeting went!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1077.mp3,"9,20"
1078,1078,RU,9781508236009,Russian 4,17,,,U17-07,07R_C,F,"Только я не знаю, как прошла встреча.","Tol'ko ia ne znaiu, kak proshla vstrecha.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1078.mp3,"9,20"
1079,1079,RU,9781508236009,Russian 4,17,,,U17-07,07Q_D,N,I only know what her name is!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1079.mp3,"7,9"
1080,1080,RU,9781508236009,Russian 4,17,,,U17-07,07R_D,F,Я знаю только как её зовут!,Ia znaju tol'ko kak eio zovut!,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1080.mp3,"7,9"
1081,1081,RU,9781508236009,Russian 4,17,,,U17-08,08Q_A,N,I was worried for you. (m),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1081.mp3,"7,9"
1082,1082,RU,9781508236009,Russian 4,17,,,U17-08,08R_A,M,Я переживал за Вас.,Ia perezhival za Vas.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1082.mp3,"7,9"
1083,1083,RU,9781508236009,Russian 4,17,,,U17-08,08Q_B,N,I didn't hear you. (m),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1083.mp3,"7,16"
1084,1084,RU,9781508236009,Russian 4,17,,,U17-08,08R_B,M,Я Вас не слышал.,Ia Vas ne slyshal.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1084.mp3,"7,16"
1085,1085,RU,9781508236009,Russian 4,17,,,U17-08,08Q_C,N,I'm sure. (m),,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1085.mp3,"7,16"
1086,1086,RU,9781508236009,Russian 4,17,,,U17-08,08R_C,M,Я уверен.,Ia uveren.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1086.mp3,"7,16"
1087,1087,RU,9781508236009,Russian 4,17,,,U17-08,08Q_D,N,I don't understand you.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1087.mp3,"7,10,15,16"
1088,1088,RU,9781508236009,Russian 4,17,,,U17-08,08R_D,F,Я Вас не понимаю.,Ia Vas ne ponimaiu.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1088.mp3,"7,10,15,16"
1089,1089,RU,9781508236009,Russian 4,18,,,U18-01,01Q_A,N,I’m afraid I’ll be bored.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1089.mp3,"7,9"
1090,1090,RU,9781508236009,Russian 4,18,,,U18-01,01R_A,M,"Я боюсь, мне будет скучно.","Ia boius’, mne budet skuchno.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1090.mp3,"7,9"
1091,1091,RU,9781508236009,Russian 4,18,,,U18-01,01Q_B,N,"I’m afraid, I got sick. (f)",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1091.mp3,"8,16"
1092,1092,RU,9781508236009,Russian 4,18,,,U18-01,01R_B,F,"Я боюсь, я заболела.","Ia boius’, ia zabolela.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1092.mp3,"8,16"
1093,1093,RU,9781508236009,Russian 4,18,,,U18-01,01Q_C,N,"I’m afraid, I will be late.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1093.mp3,"7,16,17"
1094,1094,RU,9781508236009,Russian 4,18,,,U18-01,01R_C,M,"Я боюсь, я опоздаю.","Ia boius', I opozdaiu.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1094.mp3,"7,16,17"
1095,1095,RU,9781508236009,Russian 4,18,,,U18-01,01Q_D,N,"I’m afraid, I got lost. (f)",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1095.mp3,"7,9,16"
1096,1096,RU,9781508236009,Russian 4,18,,,U18-01,01R_D,F,"Я боюсь, я заблудилась.","Ia boius', I zabludilas'.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_1096.mp3,"7,9,16"
