Control #,Rec,Lang,Source ISBN,Course,Unit Num,StartTime,StopTime,Cluster,Qz #,Spkr,Cue,Snippet Name,Skills
1038,1038,IT,978-1-4423-6191-1,Italian 4,17,,,U17-02,02R_C,M,Non poteva restare più a lungo.,9781442370579_Italian_4_QZ_1038.mp3,"17,18"
1039,1039,IT,978-1-4423-6191-1,Italian 4,17,,,U17-02,02Q_D,N,I decided to buy both.,9781442370579_Italian_4_QZ_1039.mp3,14
1040,1040,IT,978-1-4423-6191-1,Italian 4,17,,,U17-02,02R_D,F,Ho deciso di comprare tutte e due.,9781442370579_Italian_4_QZ_1040.mp3,14
1041,1041,IT,978-1-4423-6191-1,Italian 4,17,,,U17-03,03Q_A,N,I finished all my cash.,9781442370579_Italian_4_QZ_1041.mp3,11
1042,1042,IT,978-1-4423-6191-1,Italian 4,17,,,U17-03,03R_A,M,Ho finito tutti i miei contanti.,9781442370579_Italian_4_QZ_1042.mp3,11
1043,1043,IT,978-1-4423-6191-1,Italian 4,17,,,U17-03,03Q_B,N,I didn’t know that it would be finished so soon.,9781442370579_Italian_4_QZ_1043.mp3,"9,17"
1044,1044,IT,978-1-4423-6191-1,Italian 4,17,,,U17-03,03R_B,F,Non sapevo che sarebbe terminato così presto,9781442370579_Italian_4_QZ_1044.mp3,"9,17"
1045,1045,IT,978-1-4423-6191-1,Italian 4,17,,,U17-03,03Q_C,N,I finished all the schedules.,9781442370579_Italian_4_QZ_1045.mp3,9
1046,1046,IT,978-1-4423-6191-1,Italian 4,17,,,U17-03,03R_C,M,Ho finito tutti gli orari.,9781442370579_Italian_4_QZ_1046.mp3,9
1047,1047,IT,978-1-4423-6191-1,Italian 4,17,,,U17-03,03Q_D,N,I can pay in cash.,9781442370579_Italian_4_QZ_1047.mp3,"11,14"
1048,1048,IT,978-1-4423-6191-1,Italian 4,17,,,U17-03,03R_D,F,Posso pagare in contanti.,9781442370579_Italian_4_QZ_1048.mp3,"11,14"
1049,1049,IT,978-1-4423-6191-1,Italian 4,17,,,U17-04,04Q_A,N,The leather purse is hand-made.,9781442370579_Italian_4_QZ_1049.mp3,14
1050,1050,IT,978-1-4423-6191-1,Italian 4,17,,,U17-04,04R_A,M,La borsa di pelle è fatta a mano.,9781442370579_Italian_4_QZ_1050.mp3,14
1051,1051,IT,978-1-4423-6191-1,Italian 4,17,,,U17-04,04Q_B,N,The leather purse is not too heavy to carry.,9781442370579_Italian_4_QZ_1051.mp3,"11,14,18"
1052,1052,IT,978-1-4423-6191-1,Italian 4,17,,,U17-04,04R_B,F,La borsa di pelle non è troppo pesante da portare.,9781442370579_Italian_4_QZ_1052.mp3,"11,14,18"
1053,1053,IT,978-1-4423-6191-1,Italian 4,17,,,U17-04,04Q_C,N,I bought this leather purse at the market.,9781442370579_Italian_4_QZ_1053.mp3,"11,14"
1054,1054,IT,978-1-4423-6191-1,Italian 4,17,,,U17-04,04R_C,M,Ho comprato questa borsa di pelle al mercato.,9781442370579_Italian_4_QZ_1054.mp3,"11,14"
1055,1055,IT,978-1-4423-6191-1,Italian 4,17,,,U17-04,04Q_D,N,I should have checked that the purse was hand-made.,9781442370579_Italian_4_QZ_1055.mp3,14
1056,1056,IT,978-1-4423-6191-1,Italian 4,17,,,U17-04,04R_D,F,Avrei dovuto controllare che la borsa era fatta a mano.,9781442370579_Italian_4_QZ_1056.mp3,14
1057,1057,IT,978-1-4423-6191-1,Italian 4,17,,,U17-05,05Q_A,N,The city is too crowded in high season.,9781442370579_Italian_4_QZ_1057.mp3,"17,18"
1058,1058,IT,978-1-4423-6191-1,Italian 4,17,,,U17-05,05R_A,M,La città è troppo affollata in alta stagione.,9781442370579_Italian_4_QZ_1058.mp3,"17,18"
1059,1059,IT,978-1-4423-6191-1,Italian 4,17,,,U17-05,05Q_B,N,When it’s high season the city is too crowded.,9781442370579_Italian_4_QZ_1059.mp3,"17,18"
1060,1060,IT,978-1-4423-6191-1,Italian 4,17,,,U17-05,05R_B,F,Quando è alta stagione la città è troppo affollata.,9781442370579_Italian_4_QZ_1060.mp3,"17,18"
1061,1061,IT,978-1-4423-6191-1,Italian 4,17,,,U17-05,05Q_C,N,The market is always crowded in high season.,9781442370579_Italian_4_QZ_1061.mp3,"14,17"
1062,1062,IT,978-1-4423-6191-1,Italian 4,17,,,U17-05,05R_C,M,Il mercato è sempre affollato in alta stagione.,9781442370579_Italian_4_QZ_1062.mp3,"14,17"
1063,1063,IT,978-1-4423-6191-1,Italian 4,17,,,U17-05,05Q_D,N,The city was very crowded in high season.,9781442370579_Italian_4_QZ_1063.mp3,"17,18"
1064,1064,IT,978-1-4423-6191-1,Italian 4,17,,,U17-05,05R_D,F,La citta era molto affollata in alta stagione.,9781442370579_Italian_4_QZ_1064.mp3,"17,18"
1065,1065,IT,978-1-4423-6191-1,Italian 4,17,,,U17-06,06Q_A,N,But the prices were not high.,9781442370579_Italian_4_QZ_1065.mp3,"11,14"
1066,1066,IT,978-1-4423-6191-1,Italian 4,17,,,U17-06,06R_A,M,Ma i prezzi non erano alti.,9781442370579_Italian_4_QZ_1066.mp3,"11,14"
1067,1067,IT,978-1-4423-6191-1,Italian 4,17,,,U17-06,06Q_B,N,But they have the best prices.,9781442370579_Italian_4_QZ_1067.mp3,"11,14"
1068,1068,IT,978-1-4423-6191-1,Italian 4,17,,,U17-06,06R_B,F,Ma hanno i prezzi migliori.,9781442370579_Italian_4_QZ_1068.mp3,"11,14"
1069,1069,IT,978-1-4423-6191-1,Italian 4,17,,,U17-06,06Q_C,N,But the prices were good.,9781442370579_Italian_4_QZ_1069.mp3,"11,14"
1070,1070,IT,978-1-4423-6191-1,Italian 4,17,,,U17-06,06R_C,M,Ma i prezzi erano buoni.,9781442370579_Italian_4_QZ_1070.mp3,"11,14"
1071,1071,IT,978-1-4423-6191-1,Italian 4,17,,,U17-06,06Q_D,N,But the prices are not high.,9781442370579_Italian_4_QZ_1071.mp3,"5,11,14"
1072,1072,IT,978-1-4423-6191-1,Italian 4,17,,,U17-06,06R_D,F,Ma i prezzi non sono alti.,9781442370579_Italian_4_QZ_1072.mp3,"5,11,14"
1073,1073,IT,978-1-4423-6191-1,Italian 4,17,,,U17-07,07Q_A,N,Would you give me a discount for both?,9781442370579_Italian_4_QZ_1073.mp3,"11,14,16"
1074,1074,IT,978-1-4423-6191-1,Italian 4,17,,,U17-07,07R_A,M,Mi farebbe uno sconto per tutte e due?,9781442370579_Italian_4_QZ_1074.mp3,"11,14,16"
1075,1075,IT,978-1-4423-6191-1,Italian 4,17,,,U17-07,07Q_B,N,Would you give me a discount if I can pay in cash?,9781442370579_Italian_4_QZ_1075.mp3,"11,14,16"
1076,1076,IT,978-1-4423-6191-1,Italian 4,17,,,U17-07,07R_B,F,Mi farebbe uno sconto se posso pagare in contanti?,9781442370579_Italian_4_QZ_1076.mp3,"11,14,16"
1077,1077,IT,978-1-4423-6191-1,Italian 4,17,,,U17-07,07Q_C,N,You decided to buy both for a discount?,9781442370579_Italian_4_QZ_1077.mp3,"11,14"
1078,1078,IT,978-1-4423-6191-1,Italian 4,17,,,U17-07,07R_C,M,Ha deciso di comprare tutte e due per uno sconto?,9781442370579_Italian_4_QZ_1078.mp3,"11,14"
1079,1079,IT,978-1-4423-6191-1,Italian 4,17,,,U17-07,07Q_D,N,Can you give me the same price for both?,9781442370579_Italian_4_QZ_1079.mp3,"11,14"
1080,1080,IT,978-1-4423-6191-1,Italian 4,17,,,U17-07,07R_D,F,Mi può dare lo stesso prezzo per tutte e due?,9781442370579_Italian_4_QZ_1080.mp3,"11,14"
1081,1081,IT,978-1-4423-6191-1,Italian 4,17,,,U17-08,08Q_A,N,The promenade is not crowded.,9781442370579_Italian_4_QZ_1081.mp3,18
1082,1082,IT,978-1-4423-6191-1,Italian 4,17,,,U17-08,08R_A,M,Il lungomare non è affollato.,9781442370579_Italian_4_QZ_1082.mp3,18
1083,1083,IT,978-1-4423-6191-1,Italian 4,17,,,U17-08,08Q_B,N,The promenade is too crowded.,9781442370579_Italian_4_QZ_1083.mp3,18
1084,1084,IT,978-1-4423-6191-1,Italian 4,17,,,U17-08,08R_B,F,Il lungomare è troppo affollato.,9781442370579_Italian_4_QZ_1084.mp3,18
1085,1085,IT,978-1-4423-6191-1,Italian 4,17,,,U17-08,08Q_C,N,The promenade wasn’t crowded.,9781442370579_Italian_4_QZ_1085.mp3,18
1086,1086,IT,978-1-4423-6191-1,Italian 4,17,,,U17-08,08R_C,M,Il lungomare non era affollato.,9781442370579_Italian_4_QZ_1086.mp3,18
1087,1087,IT,978-1-4423-6191-1,Italian 4,17,,,U17-08,08Q_D,N,It’s not crowded on the promenade today.,9781442370579_Italian_4_QZ_1087.mp3,"17,18"
1088,1088,IT,978-1-4423-6191-1,Italian 4,17,,,U17-08,08R_D,F,Non è affollato sul lungomare oggi.,9781442370579_Italian_4_QZ_1088.mp3,"17,18"
1089,1089,IT,978-1-4423-6191-1,Italian 4,18,,,U18-01,01Q_A,N,You too should give a look.,9781442370579_Italian_4_QZ_1089.mp3,1
1090,1090,IT,978-1-4423-6191-1,Italian 4,18,,,U18-01,01R_A,M,Anche Lei dovrebbe dare un’occhiata.,9781442370579_Italian_4_QZ_1090.mp3,1
1091,1091,IT,978-1-4423-6191-1,Italian 4,18,,,U18-01,01Q_B,N,You too should buy the tickets.,9781442370579_Italian_4_QZ_1091.mp3,"1,14"
1092,1092,IT,978-1-4423-6191-1,Italian 4,18,,,U18-01,01R_B,F,Anche Lei dovrebbe comprare i biglietti.,9781442370579_Italian_4_QZ_1092.mp3,"1,14"
1093,1093,IT,978-1-4423-6191-1,Italian 4,18,,,U18-01,01Q_C,N,We should give a look.,9781442370579_Italian_4_QZ_1093.mp3,1
1094,1094,IT,978-1-4423-6191-1,Italian 4,18,,,U18-01,01R_C,M,Dovremmo dare un’occhiata.,9781442370579_Italian_4_QZ_1094.mp3,1
1095,1095,IT,978-1-4423-6191-1,Italian 4,18,,,U18-01,01Q_D,N,You too should do a tour of the island.,9781442370579_Italian_4_QZ_1095.mp3,18
1096,1096,IT,978-1-4423-6191-1,Italian 4,18,,,U18-01,01R_D,F,Anche lei dovrebbe fare un giro dell’isola.,9781442370579_Italian_4_QZ_1096.mp3,18
1097,1097,IT,978-1-4423-6191-1,Italian 4,18,,,U18-02,02Q_A,N,It’s a quaint little square.,9781442370579_Italian_4_QZ_1097.mp3,"12,18"
1098,1098,IT,978-1-4423-6191-1,Italian 4,18,,,U18-02,02R_A,M,È una piazzetta caratteristica.,9781442370579_Italian_4_QZ_1098.mp3,"12,18"
1099,1099,IT,978-1-4423-6191-1,Italian 4,18,,,U18-02,02Q_B,N,The little square is very quaint.,9781442370579_Italian_4_QZ_1099.mp3,"12,18"
1100,1100,IT,978-1-4423-6191-1,Italian 4,18,,,U18-02,02R_B,F,La piazzetta è molto caratteristica.,9781442370579_Italian_4_QZ_1100.mp3,"12,18"
1101,1101,IT,978-1-4423-6191-1,Italian 4,18,,,U18-02,02Q_C,N,It has a quaint little square.,9781442370579_Italian_4_QZ_1101.mp3,"12,18"
1102,1102,IT,978-1-4423-6191-1,Italian 4,18,,,U18-02,02R_C,M,Ha una piazzetta caratteristica.,9781442370579_Italian_4_QZ_1102.mp3,"12,18"
1103,1103,IT,978-1-4423-6191-1,Italian 4,18,,,U18-02,02Q_D,N,The plaza is very small and very quaint.,9781442370579_Italian_4_QZ_1103.mp3,"12,18"
1104,1104,IT,978-1-4423-6191-1,Italian 4,18,,,U18-02,02R_D,F,La piazza è molto piccola è molto caratteristica.,9781442370579_Italian_4_QZ_1104.mp3,"12,18"
1105,1105,IT,978-1-4423-6191-1,Italian 4,18,,,U18-03,03Q_A,N,I want to take a tour of the island by boat.,9781442370579_Italian_4_QZ_1105.mp3,"1,18"
1106,1106,IT,978-1-4423-6191-1,Italian 4,18,,,U18-03,03R_A,M,Voglio fare un giro dell’isola in barca.,9781442370579_Italian_4_QZ_1106.mp3,"1,18"
1107,1107,IT,978-1-4423-6191-1,Italian 4,18,,,U18-03,03Q_B,N,I want to see the island by boat.,9781442370579_Italian_4_QZ_1107.mp3,"1,18"
1108,1108,IT,978-1-4423-6191-1,Italian 4,18,,,U18-03,03R_B,F,Voglio vedere l’isola in barca.,9781442370579_Italian_4_QZ_1108.mp3,"1,18"
1109,1109,IT,978-1-4423-6191-1,Italian 4,18,,,U18-03,03Q_C,N,I decided to take a tour of the island by boat.,9781442370579_Italian_4_QZ_1109.mp3,"1,18"
1110,1110,IT,978-1-4423-6191-1,Italian 4,18,,,U18-03,03R_C,M,Ho deciso di fare un giro dell’isola in barca.,9781442370579_Italian_4_QZ_1110.mp3,"1,18"
1111,1111,IT,978-1-4423-6191-1,Italian 4,18,,,U18-03,03Q_D,N,You too should do a tour of the island by boat.,9781442370579_Italian_4_QZ_1111.mp3,"1,18"
1112,1112,IT,978-1-4423-6191-1,Italian 4,18,,,U18-03,03R_D,F,Anche lei dovrebbe fare un giro dell’isola in barca.,9781442370579_Italian_4_QZ_1112.mp3,"1,18"
1113,1113,IT,978-1-4423-6191-1,Italian 4,18,,,U18-04,04Q_A,N,Did you check the schedules?,9781442370579_Italian_4_QZ_1113.mp3,"16,18"
1114,1114,IT,978-1-4423-6191-1,Italian 4,18,,,U18-04,04R_A,M,Ha controllato gli orari?,9781442370579_Italian_4_QZ_1114.mp3,"16,18"
1115,1115,IT,978-1-4423-6191-1,Italian 4,18,,,U18-04,04Q_B,N,Should we buy the tickets?,9781442370579_Italian_4_QZ_1115.mp3,"1,14"
1116,1116,IT,978-1-4423-6191-1,Italian 4,18,,,U18-04,04R_B,F,Dovremmo comprare i biglietti?,9781442370579_Italian_4_QZ_1116.mp3,"1,14"
1117,1117,IT,978-1-4423-6191-1,Italian 4,18,,,U18-04,04Q_C,N,Can you check the schedules?,9781442370579_Italian_4_QZ_1117.mp3,"16,18"
1118,1118,IT,978-1-4423-6191-1,Italian 4,18,,,U18-04,04R_C,M,Può controllare gli orari?,9781442370579_Italian_4_QZ_1118.mp3,"16,18"
1119,1119,IT,978-1-4423-6191-1,Italian 4,18,,,U18-04,04Q_D,N,Have you seen the schedules for today?,9781442370579_Italian_4_QZ_1119.mp3,"17,18,20"
1120,1120,IT,978-1-4423-6191-1,Italian 4,18,,,U18-04,04R_D,F,Ha visto gli orari per oggi?,9781442370579_Italian_4_QZ_1120.mp3,"17,18,20"
1121,1121,IT,978-1-4423-6191-1,Italian 4,18,,,U18-05,05Q_A,N,The sea is calm today.,9781442370579_Italian_4_QZ_1121.mp3,17
1122,1122,IT,978-1-4423-6191-1,Italian 4,18,,,U18-05,05R_A,M,Il mare è calmo oggi.,9781442370579_Italian_4_QZ_1122.mp3,17
1123,1123,IT,978-1-4423-6191-1,Italian 4,18,,,U18-05,05Q_B,N,The sea was not calm yesterday.,9781442370579_Italian_4_QZ_1123.mp3,17
1124,1124,IT,978-1-4423-6191-1,Italian 4,18,,,U18-05,05R_B,F,Il mare non era calmo ieri.,9781442370579_Italian_4_QZ_1124.mp3,17
1125,1125,IT,978-1-4423-6191-1,Italian 4,18,,,U18-05,05Q_C,N,The sea is really calm today.,9781442370579_Italian_4_QZ_1125.mp3,17
1126,1126,IT,978-1-4423-6191-1,Italian 4,18,,,U18-05,05R_C,M,Il mare è veramente calmo oggi.,9781442370579_Italian_4_QZ_1126.mp3,17
1127,1127,IT,978-1-4423-6191-1,Italian 4,18,,,U18-05,05Q_D,N,Today the sea isn’t calm.,9781442370579_Italian_4_QZ_1127.mp3,17
1128,1128,IT,978-1-4423-6191-1,Italian 4,18,,,U18-05,05R_D,F,Oggi il mare non è calmo.,9781442370579_Italian_4_QZ_1128.mp3,17
1129,1129,IT,978-1-4423-6191-1,Italian 4,18,,,U18-06,06Q_A,N,There aren’t tickets today.,9781442370579_Italian_4_QZ_1129.mp3,"1,5,17"
1130,1130,IT,978-1-4423-6191-1,Italian 4,18,,,U18-06,06R_A,M,Non ci sono biglietti oggi.,9781442370579_Italian_4_QZ_1130.mp3,"1,5,17"
1131,1131,IT,978-1-4423-6191-1,Italian 4,18,,,U18-06,06Q_B,N,We should buy the tickets today.,9781442370579_Italian_4_QZ_1131.mp3,"1,14,17"
1132,1132,IT,978-1-4423-6191-1,Italian 4,18,,,U18-06,06R_B,F,Dovremmo comprare i biglietti oggi.,9781442370579_Italian_4_QZ_1132.mp3,"1,14,17"
1133,1133,IT,978-1-4423-6191-1,Italian 4,18,,,U18-06,06Q_C,N,I decided not to buy the tickets today.,9781442370579_Italian_4_QZ_1133.mp3,"1,14,17"
1134,1134,IT,978-1-4423-6191-1,Italian 4,18,,,U18-06,06R_C,M,Ho deciso di non comprare i biglietti oggi.,9781442370579_Italian_4_QZ_1134.mp3,"1,14,17"
1135,1135,IT,978-1-4423-6191-1,Italian 4,18,,,U18-06,06Q_D,N,There aren’t many tickets today.,9781442370579_Italian_4_QZ_1135.mp3,"1,5,12,17"
1136,1136,IT,978-1-4423-6191-1,Italian 4,18,,,U18-06,06R_D,F,Non ci sono molti biglietti oggi.,9781442370579_Italian_4_QZ_1136.mp3,"1,5,12,17"
1137,1137,IT,978-1-4423-6191-1,Italian 4,18,,,U18-07,07Q_A,N,It leaves from the pier at nine o’clock.,9781442370579_Italian_4_QZ_1137.mp3,"12,17,18"
1138,1138,IT,978-1-4423-6191-1,Italian 4,18,,,U18-07,07R_A,M,Parte dal molo alle nove.,9781442370579_Italian_4_QZ_1138.mp3,"12,17,18"
1139,1139,IT,978-1-4423-6191-1,Italian 4,18,,,U18-07,07Q_B,N,You’re leaving alone tomorrow at nine o’clock.,9781442370579_Italian_4_QZ_1139.mp3,"12,17,18"
1140,1140,IT,978-1-4423-6191-1,Italian 4,18,,,U18-07,07R_B,F,Parte solo domani alle nove.,9781442370579_Italian_4_QZ_1140.mp3,"12,17,18"
1141,1141,IT,978-1-4423-6191-1,Italian 4,18,,,U18-07,07Q_C,N,I heard that the boat leaves from the pier at nine o’clock.,9781442370579_Italian_4_QZ_1141.mp3,"3,12,17,18"
1142,1142,IT,978-1-4423-6191-1,Italian 4,18,,,U18-07,07R_C,M,Ho sentito che la barca parte dal molo alle nove.,9781442370579_Italian_4_QZ_1142.mp3,"3,12,17,18"
1143,1143,IT,978-1-4423-6191-1,Italian 4,18,,,U18-07,07Q_D,N,At the pier there’s a boat that leaves at nine o’clock.,9781442370579_Italian_4_QZ_1143.mp3,"12,17,18"
1144,1144,IT,978-1-4423-6191-1,Italian 4,18,,,U18-07,07R_D,F,Al molo c’è una barca che parte alle nove.,9781442370579_Italian_4_QZ_1144.mp3,"12,17,18"
1145,1145,IT,978-1-4423-6191-1,Italian 4,18,,,U18-08,08Q_A,N,I get sea-sick when the sea isn’t calm.,9781442370579_Italian_4_QZ_1145.mp3,8
1146,1146,IT,978-1-4423-6191-1,Italian 4,18,,,U18-08,08R_A,M,Soffro il mal di mare quando il mare non è calmo.,9781442370579_Italian_4_QZ_1146.mp3,8
1147,1147,IT,978-1-4423-6191-1,Italian 4,18,,,U18-08,08Q_B,N,"Even when the sea is calm, I get sea-sick.",9781442370579_Italian_4_QZ_1147.mp3,8
1148,1148,IT,978-1-4423-6191-1,Italian 4,18,,,U18-08,08R_B,F,"Anche quando il mare è calmo, soffro il mal di mare.",9781442370579_Italian_4_QZ_1148.mp3,8
1149,1149,IT,978-1-4423-6191-1,Italian 4,18,,,U18-08,08Q_C,N,Usually I don’t get sea-sick.,9781442370579_Italian_4_QZ_1149.mp3,8
1150,1150,IT,978-1-4423-6191-1,Italian 4,18,,,U18-08,08R_C,M,"Di solito, non soffro il mal di mare.",9781442370579_Italian_4_QZ_1150.mp3,8
1151,1151,IT,978-1-4423-6191-1,Italian 4,18,,,U18-08,08Q_D,N,I too get sea-sick even sometimes when the sea is calm.,9781442370579_Italian_4_QZ_1151.mp3,"8,17"
1152,1152,IT,978-1-4423-6191-1,Italian 4,18,,,U18-08,08R_D,F,Anch’io soffro il mal di mare qualche volta quando il mare è calmo.,9781442370579_Italian_4_QZ_1152.mp3,"8,17"
1153,1153,IT,978-1-4423-6191-1,Italian 4,19,,,U19-01,01Q_A,N,I have even a little money.,9781442370579_Italian_4_QZ_1153.mp3,"11,12"
1154,1154,IT,978-1-4423-6191-1,Italian 4,19,,,U19-01,01R_A,M,Ho anche un po’ di soldi.,9781442370579_Italian_4_QZ_1154.mp3,"11,12"
1155,1155,IT,978-1-4423-6191-1,Italian 4,19,,,U19-01,01Q_B,N,I have enough money fortunately.,9781442370579_Italian_4_QZ_1155.mp3,11
1156,1156,IT,978-1-4423-6191-1,Italian 4,19,,,U19-01,01R_B,F,Ho abbastanza soldi per fortuna.,9781442370579_Italian_4_QZ_1156.mp3,11
1157,1157,IT,978-1-4423-6191-1,Italian 4,19,,,U19-01,01Q_C,N,I have some money with me today.,9781442370579_Italian_4_QZ_1157.mp3,"11,17"
1158,1158,IT,978-1-4423-6191-1,Italian 4,19,,,U19-01,01R_C,M,Ho dei soldi con me oggi.,9781442370579_Italian_4_QZ_1158.mp3,"11,17"
1159,1159,IT,978-1-4423-6191-1,Italian 4,19,,,U19-01,01Q_D,N,You even have money with you.,9781442370579_Italian_4_QZ_1159.mp3,11
1160,1160,IT,978-1-4423-6191-1,Italian 4,19,,,U19-01,01R_D,F,Ha anche dei soldi con Lei.,9781442370579_Italian_4_QZ_1160.mp3,11
1161,1161,IT,978-1-4423-6191-1,Italian 4,19,,,U19-02,02Q_A,N,The cruise has a relaxing view on the sea.,9781442370579_Italian_4_QZ_1161.mp3,18
1162,1162,IT,978-1-4423-6191-1,Italian 4,19,,,U19-02,02R_A,M,La crociera ha una vista rilassante sul mare.,9781442370579_Italian_4_QZ_1162.mp3,18
1163,1163,IT,978-1-4423-6191-1,Italian 4,19,,,U19-02,02Q_B,N,It’s relaxing to do a tour of the islands on a cruise.,9781442370579_Italian_4_QZ_1163.mp3,"1,8,18"
1164,1164,IT,978-1-4423-6191-1,Italian 4,19,,,U19-02,02R_B,F,È rilassante fare un giro dell’isola sulla crociera.,9781442370579_Italian_4_QZ_1164.mp3,"1,8,18"
1165,1165,IT,978-1-4423-6191-1,Italian 4,19,,,U19-02,02Q_C,N,A cruise is a relaxing place for a vacation.,9781442370579_Italian_4_QZ_1165.mp3,"1,18"
1166,1166,IT,978-1-4423-6191-1,Italian 4,19,,,U19-02,02R_C,M,Una crociera è un posto rilassante per una vacanza.,9781442370579_Italian_4_QZ_1166.mp3,"1,18"
1167,1167,IT,978-1-4423-6191-1,Italian 4,19,,,U19-02,02Q_D,N,A cruise has many advantages.,9781442370579_Italian_4_QZ_1167.mp3,"9,12,18"
1168,1168,IT,978-1-4423-6191-1,Italian 4,19,,,U19-02,02R_D,F,Una crociera ha molti vantaggi.,9781442370579_Italian_4_QZ_1168.mp3,"9,12,18"
1169,1169,IT,978-1-4423-6191-1,Italian 4,19,,,U19-03,03Q_A,N,Let’s stop to do the shopping.,9781442370579_Italian_4_QZ_1169.mp3,"1,14"
1170,1170,IT,978-1-4423-6191-1,Italian 4,19,,,U19-03,03R_A,M,Fermiamoci a fare le spese.,9781442370579_Italian_4_QZ_1170.mp3,"1,14"
1171,1171,IT,978-1-4423-6191-1,Italian 4,19,,,U19-03,03Q_B,N,Let’s stop to take a tour.,9781442370579_Italian_4_QZ_1171.mp3,18
1172,1172,IT,978-1-4423-6191-1,Italian 4,19,,,U19-03,03R_B,F,Fermiamoci a fare un giro.,9781442370579_Italian_4_QZ_1172.mp3,18
1173,1173,IT,978-1-4423-6191-1,Italian 4,19,,,U19-03,03Q_C,N,Let’s stop and I can check.,9781442370579_Italian_4_QZ_1173.mp3,7
1174,1174,IT,978-1-4423-6191-1,Italian 4,19,,,U19-03,03R_C,M,Fermiamoci e posso controllare.,9781442370579_Italian_4_QZ_1174.mp3,7
1175,1175,IT,978-1-4423-6191-1,Italian 4,19,,,U19-03,03Q_D,N,Let’s stop at the bar on the promenade.,9781442370579_Italian_4_QZ_1175.mp3,6
1176,1176,IT,978-1-4423-6191-1,Italian 4,19,,,U19-03,03R_D,F,Fermiamoci al bar sul lungomare.,9781442370579_Italian_4_QZ_1176.mp3,6
1177,1177,IT,978-1-4423-6191-1,Italian 4,19,,,U19-04,04Q_A,N,I forgot my purse.,9781442370579_Italian_4_QZ_1177.mp3,"11,14"
1178,1178,IT,978-1-4423-6191-1,Italian 4,19,,,U19-04,04R_A,F,Ho dimenticato la mia borsa.,9781442370579_Italian_4_QZ_1178.mp3,"11,14"
1179,1179,IT,978-1-4423-6191-1,Italian 4,19,,,U19-04,04Q_B,N,I forgot my wallet.,9781442370579_Italian_4_QZ_1179.mp3,"11,14"
1180,1180,IT,978-1-4423-6191-1,Italian 4,19,,,U19-04,04R_B,M,Ho dimenticato il mio portafoglio.,9781442370579_Italian_4_QZ_1180.mp3,"11,14"
1181,1181,IT,978-1-4423-6191-1,Italian 4,19,,,U19-04,04Q_C,N,I forgot that my briefcase isn’t here.,9781442370579_Italian_4_QZ_1181.mp3,20
1182,1182,IT,978-1-4423-6191-1,Italian 4,19,,,U19-04,04R_C,M,Ho dimenticato che la mia valigetta non è qui.,9781442370579_Italian_4_QZ_1182.mp3,20
1183,1183,IT,978-1-4423-6191-1,Italian 4,19,,,U19-04,04Q_D,N,It isn’t fun without my wallet.,9781442370579_Italian_4_QZ_1183.mp3,"9,11,14"
1184,1184,IT,978-1-4423-6191-1,Italian 4,19,,,U19-04,04R_D,F,Non è divertente senza il mio portafoglio.,9781442370579_Italian_4_QZ_1184.mp3,"9,11,14"
1185,1185,IT,978-1-4423-6191-1,Italian 4,19,,,U19-05,05Q_A,N,It’s a popular tourist destination.,9781442370579_Italian_4_QZ_1185.mp3,18
1186,1186,IT,978-1-4423-6191-1,Italian 4,19,,,U19-05,05R_A,M,È una meta turistica popolare.,9781442370579_Italian_4_QZ_1186.mp3,18
1187,1187,IT,978-1-4423-6191-1,Italian 4,19,,,U19-05,05Q_B,N,It has many advantages and is very relaxing.,9781442370579_Italian_4_QZ_1187.mp3,12
1188,1188,IT,978-1-4423-6191-1,Italian 4,19,,,U19-05,05R_B,F,Ha molti vantaggi ed è molto rilassante.,9781442370579_Italian_4_QZ_1188.mp3,12
1189,1189,IT,978-1-4423-6191-1,Italian 4,19,,,U19-05,05Q_C,N,One can go there by ferryboat.,9781442370579_Italian_4_QZ_1189.mp3,"1,4,18"
1190,1190,IT,978-1-4423-6191-1,Italian 4,19,,,U19-05,05R_C,M,Si può andare lì in traghetto.,9781442370579_Italian_4_QZ_1190.mp3,"1,4,18"
1191,1191,IT,978-1-4423-6191-1,Italian 4,19,,,U19-05,05Q_D,N,It’s not truly a tourist destination.,9781442370579_Italian_4_QZ_1191.mp3,18
1192,1192,IT,978-1-4423-6191-1,Italian 4,19,,,U19-05,05R_D,F,Non è veramente una meta turistica.,9781442370579_Italian_4_QZ_1192.mp3,18
1193,1193,IT,978-1-4423-6191-1,Italian 4,19,,,U19-06,06Q_A,N,"Fortunately, I still have my credit cards.",9781442370579_Italian_4_QZ_1193.mp3,"11,14"
1194,1194,IT,978-1-4423-6191-1,Italian 4,19,,,U19-06,06R_A,M,"Per fortuna, ho ancora le mie carte di credito.",9781442370579_Italian_4_QZ_1194.mp3,"11,14"
1195,1195,IT,978-1-4423-6191-1,Italian 4,19,,,U19-06,06Q_B,N,"Fortunately, they accept credit cards.",9781442370579_Italian_4_QZ_1195.mp3,"11,14"
1196,1196,IT,978-1-4423-6191-1,Italian 4,19,,,U19-06,06R_B,F,"Per fortuna, accettano le carte di credito.",9781442370579_Italian_4_QZ_1196.mp3,"11,14"
1197,1197,IT,978-1-4423-6191-1,Italian 4,19,,,U19-06,06Q_C,N,Fortunately you can find an ATM there.,9781442370579_Italian_4_QZ_1197.mp3,11
